#,SuperCategory,SubCategory,Level,Lexical Range,guideword,Can-do statement,Example
23,ADJECTIVES,comparatives,B1,N/A,FORM/USE: WITH 'A (LITTLE) BIT',"Can use 'a (little) bit' to modify comparative adjectives used predicatively after a verb, usually 'be'.","He's 15, a bit smaller than me, dark hair, brown eyes. (France; B1 THRESHOLD; 2003; French; Pass)

Our first lesson was a bit shorter, but very unusual. (Slovakia; B1 THRESHOLD; 2002; Slovak; Pass)

She's a little bit older than me. (Hungary; B1 THRESHOLD; 2010; Hungarian; Pass)"
24,ADJECTIVES,comparatives,B1,N/A,FORM/USE: WITH 'AND',"Can use 'and' to repeat a comparative adjective to indicate change over time, usually after 'become' or 'get'.  ► adjectives: comparatives","I saw everything become smaller and smaller. (China; B1 THRESHOLD; 2003; Chinese; Pass)

I think that's a good question, because nowadays television is getting worse and worse, but there are still some good programmes. (Spain; B1 THRESHOLD; 2007; Spanish - European; Pass)

Summer is coming. Days become longer and longer. (China; B1 THRESHOLD; 2007; Chinese; Pass)"
25,ADJECTIVES,comparatives,B1,N/A,FORM/USE: WITH 'EVEN',"Can use 'even' to modify and intensify comparative adjectives used predicatively after a verb, usually 'be' and 'get'.","[talking about a series of films] I'm sure you've seen part one already, but part two was even better! (Thailand; B1 THRESHOLD; 2002; Thai; Pass)

As I finished, my smile got even bigger. (Germany; B1 THRESHOLD; 2008; German; Pass)

I think that it is awful, because that means that in Spain it will be even hotter than it is now. (Spain; B1 THRESHOLD; 2007; Catalan; Pass)"
26,ADJECTIVES,comparatives,B2,N/A,FORM/USE: WITH 'A LOT',"Can use 'a lot' to modify and intensify comparative adjectives used predicatively after a verb, usually 'be'. ","In addition, remember that a bike, even a good one, is a lot cheaper than a car. (France; B2 VANTAGE; 1993; French; Pass)

Don't you think it would be a lot easier for you to finish college first? (B2 VANTAGE; 2011; Polish; Pass)"
27,ADJECTIVES,comparatives,B2,N/A,FORM/USE: WITH 'MUCH' + NOUN,Can use 'much' to modify and intensify comparative adjectives used attributively before countable and uncountable nouns.,"Although it is a second-hand computer which one of my colleagues sold me, it is a much better investment than the bicycle, I think. (Germany; B2 VANTAGE; 1997; German; Pass)

I think the Majestic Hotel is too expensive, so what about a much cheaper hotel like the Plaza Hotel? (Sweden; B2 VANTAGE; 2001; Swedish; Pass)

On the other hand, our grandparents had much fresher vegetables and meat they could trust, without BSE... (Brazil; B2 VANTAGE; 2001; Portuguese; Pass)"
28,ADJECTIVES,comparatives,B2,N/A,FORM/USE: WITH 'SLIGHTLY',Can use 'slightly' to modify comparative adjectives to a small degree.,"I bought a new one, since the price of a second-hand one was slightly cheaper. (Brazil; B2 VANTAGE; 1997; Portuguese; Pass)

They have their own characteristics, but the food of restaurant A is slightly better than that of B. (Korea, South; B2 VANTAGE; 1997; Korean; Pass)"
29,ADJECTIVES,comparatives,C2,N/A,FORM/USE: WITH 'NO' OR 'NOT ANY',Can use 'no' / 'not any' with comparative adjectives to limit the scale of comparison. ► comparative clauses,"That is why we are not any happier than you were. (Greece; C2 MASTERY; 2005; Greek; Pass)

I will probably find the water to be no higher than my thighs. (Netherlands; C2 MASTERY; 1998; Dutch; Pass)"
30,ADJECTIVES,comparatives,C2,N/A,FORM/USE: WITH 'NOT THAT MUCH',Can use 'not that much' to modify comparative adjectives to a small degree. ► comparative clauses,"Although she is not that much older than I am, one could think there were quite a few years between us. (Netherlands; C2 MASTERY; 1993; Dutch; Pass)"
31,ADJECTIVES,modifying,A1,N/A,FORM: WITH 'VERY',Can use 'very' with a limited range of common gradable adjectives.,"I like Croydon because it's very quiet and very nice. (A1 BREAKTHROUGH; Farsi)

My neighbours are very friendly. (A1; Slovak)"
32,ADJECTIVES,modifying,A2,N/A,FORM: WITH DEGREE ADVERBS,"Can use adverbs of degree ('really', 'so', 'quite') with an increasing range of common gradable adjectives.","It was sunny and really hot every day! (Argentina; A2 WAYSTAGE; 2009; Spanish - Latin American; Pass)

I'm so happy because we can have a party for my birthday together! (Italy; A2 WAYSTAGE; 2009; Croatian; Pass)

They are quite expensive. (Malaysia; A2 WAYSTAGE; 2008; Chinese; Pass)"
33,ADJECTIVES,modifying,A2,N/A,FORM: WITH PREPOSITIONAL PHRASE,Can form adjective phrases with a very limited range of adjectives + a prepositional phrase.,"I think swimming is good for my body. (China; A2 WAYSTAGE; 2002; Chinese; Pass)

The house was full of people, my family and friends. (Argentina; A2 WAYSTAGE; 2004; Spanish - Latin American; Pass)"
34,ADJECTIVES,modifying,A2,N/A,FORM: WITH 'TOO',Can use 'too' with common gradable adjectives.,"They aren't too expensive. They cost like £30. (Mexico; A2 WAYSTAGE; 2008; Spanish - Latin American; Pass)

I bought a jacket because the other one that I had was too small. (Portugal; A2 WAYSTAGE; 2008; Portuguese; Pass)"
35,ADJECTIVES,modifying,A2,N/A,FORM: WITH 'TOO' + PREPOSITIONAL PHRASE,Can use 'too' + adjective + prepositional phrase,I bought them because I noticed that most of my clothes were too small for me. (Japan; A2 WAYSTAGE; 2008; Japanese; Pass)
36,ADJECTIVES,modifying,B1,N/A,FORM: ADJECTIVE PHRASE + NOUN,"Can use adjective phrases attributively, before a noun.","… my boss told me that at 10.15 am I have a very important meeting. (Germany; B1 THRESHOLD; 2008; Urdu; Pass)

… she's also a really good friend. (Belgium; B1 THRESHOLD; 2009; French; Pass)"
37,ADJECTIVES,modifying,B1,N/A,FORM: WITH 'ENOUGH',Can use 'enough' to modify adjectives.,"My room is big enough, there is a lot of space, and for this reason I will buy a stereo. (Greece; B1 THRESHOLD; 2001; Greek; Pass)

I thought they had the same problem as me: we don't think our English is good enough. (China; B1 THRESHOLD; 2002; Chinese; Pass)"
38,ADJECTIVES,modifying,B1,N/A,FORM: WITH 'QUITE A',Can form adjective phrases with 'quite a' + adjective.,"I been thinking about your last letter for quite a long time and I came to the following conclusion. (Uruguay; B1 THRESHOLD; 2004; Spanish - Latin American; Pass)

This is quite a difficult situation you have. (Germany; B1 THRESHOLD; 2008; German; Pass)

I personally think going to a large school is quite a good idea. (Thailand; B1 THRESHOLD; 2008; Thai; Pass)"
39,ADJECTIVES,modifying,B1,N/A,FORM: WITH 'TOO' + 'TO'-INFINITIVE,Can use 'too' before adjectives followed by 'to'-infinitive.,"He always told me that he was too busy to write a letter to me, his wife. (France; B1 THRESHOLD; 2008; French; Pass)

We took two days to mend it, but the machine is too old to work well. (China; B1 THRESHOLD; 2002; Chinese; Pass)"
40,ADJECTIVES,modifying,B2,N/A,FORM: WITH 'ENOUGH' + 'TO'-INFINITIVE,Can use 'enough' after adjectives followed by 'to'-infinitive,"[talking about an arts festival] I was lucky enough to take part in it last November, and I enjoyed it immensely. (Mexico; B2 VANTAGE; 2000; Spanish - Latin American; Pass)

In my opinion young people at that age are not mature enough to decide by themselves what they want for their future. (B2 VANTAGE; 2009; German; Pass)"
41,ADJECTIVES,modifying,B2,N/A,FORM: WITH 'RATHER A',"Can form adjective phrases with 'rather a' + adjective, often in formal contexts. ","Films tend to be rather a simple art, while books are a thing to be enjoyed in a calmer way. (Poland; B2 VANTAGE; 2008; Polish; Pass)

I must confess that I'm rather a poor player. (Switzerland; B2 VANTAGE; 1993; German; Pass)

I live rather a long way from work, about 10 km. (Sweden; B2 VANTAGE; 1993; Swedish; Pass)"
42,ADJECTIVES,modifying,C1,N/A,FORM: WITH EXTREME ADVERBS,"Can modify gradable adjectives with extreme adverbs of degree ('absolutely', 'extremely', 'incredibly', 'totally') to intensify their meaning. ","I am absolutely sure that it will attract even more attention. (Poland; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2004; Polish; Pass)

Nowadays, it is extremely difficult to imagine how workers lived ten years ago, especially because of the incredibly fast evolution in technology. (Switzerland; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 1998; Italian; Pass)

I would make a totally new programme, in which the following points must be improved: … (Mexico; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 1993; Spanish - Latin American; Pass)"
43,ADJECTIVES,modifying,C2,N/A,FORM: COMPARISON,Can use adjectives in 'as … as' and 'so … that' in comparative structures. ► comparative clauses,"Because our debates do not draw as large a number of students as the guest appearances, but are still enjoyed by a relevant number of students, we propose a change of focus for the events. (Sweden; C2 MASTERY; 2006; Swedish; Pass)

It was such a riddle that I went and saw my psycho-analyst, who revealed to me that I once had so strong a shock that I was now walking and hiding my money in my sleep. (France; C2 MASTERY; 1998; French; Pass)"
44,ADJECTIVES,position,A1,1,FORM: ATTRIBUTIVE (WITH NOUNS),"Can use a limited range of adjectives attributively, before a noun. ► noun phrases","We have a big garden and a small swimming pool. (Arabic - Other, A1 BREAKTHROUGH, Pass, 2009)

My name is Bogdan. I am your new neighbour. (Polish, A1 BREAKTHROUGH, Pass, 2008)

I like my home because I have a nice park next to my house. (Farsi, A1 BREAKTHROUGH, Pass, 2009)"
45,ADJECTIVES,position,A1,1,"FORM: PREDICATIVE, WITH 'BE'","Can use a limited range of adjectives predicatively, after 'be'.","I like my home because my bedroom is big. (Turkish, A1 BREAKTHROUGH, Pass, 2009)

This place is lovely. (Polish, A1 BREAKTHROUGH, Pass, 2007)

My kitchen is nice. (Farsi, A1 BREAKTHROUGH, Pass, 2009)

This place is beautiful. (Tagalog, A1 BREAKTHROUGH, Pass, 2007)"
46,ADJECTIVES,position,A2,1,FORM/USE: LIMITING ADJECTIVES,"Can use a limited range of adjectives ('main', 'only') that limit the noun that they go before.","…the main reason is that I am practising the language. (Mexico; A2 WAYSTAGE; 2002; Spanish - Latin American; Pass)

But the only thing that I didn't like was the weather. (Peru; A2 WAYSTAGE; 2009; Spanish - Latin American; Pass)"
47,ADJECTIVES,position,A2,2,"FORM: PREDICATIVE, WITH 'BE'","Can use an increasing range of adjectives predicatively, after 'be'.","Yes, I am free Monday morning. (A1 BREAKTHROUGH; 2011; Romanian; Pass)

I love her because she is friendly. (A1 BREAKTHROUGH; 2006; Bengali; Pass)"
48,ADJECTIVES,position,A2,1,"FORM: PREDICATIVE, WITH LINKING VERBS","Can use a limited range of adjectives predicatively, after linking verbs 'look' and 'feel'.","It is black and it looks perfect. (Cyprus; A2 WAYSTAGE; 2007; Turkish; Pass)

I bought them because I feel comfortable when I am wearing these clothes. (Malaysia; A2 WAYSTAGE; 2008; Malay; Pass)"
49,ADJECTIVES,position,B1,N/A,FORM: ADJECTIVES WITH PREFIX 'A-',"Can use adjectives with the prefix a- ('asleep', 'awake', 'alive', 'alone') predicatively only, after linking verbs. "," I was very nervious because I was  alone at the bus station … (Mexico; B1 THRESHOLD; 2006; Spanish - Latin American; Pass)

On that night while I was watching TV, I was almost  asleep , the door bell rang. (Turkey; B1 THRESHOLD; 2007; Turkish; Pass)

We went in the room and I was very happy that my father was still  alive. (Malaysia; B1 THRESHOLD; 2005; Chinese; Pass)"
50,ADJECTIVES,position,B1,2,FORM: ATTRIBUTIVE (WITH NOUNS),"Can use an increasing range of adjectives attributively, before a noun.
► noun phrases","The main character in the programme is a journalist who is visiting the town. (Arabic - Meghreb, B1 THRESHOLD, Pass, 2007)

Dear Fiona, I see you are in a complicated situation, aren't you? (Czech, B1 THRESHOLD, Pass, 2008)

The first of them had long dark hair and the second one had short fair curly hair. (French, B1 THRESHOLD, Pass, 2001)

In the evening, we used to go to a famous restaurant where you can eat delicious local food. (Italian, B1 THRESHOLD, Pass, 2008)


I decided to see the ""Zorro's Mask"" because it's an amusing and entertaining action film and love-story. (Hungarian, B1 THRESHOLD, Pass, 2004)"
51,ADJECTIVES,position,B1,N/A,FORM: WITH 'MAKE' AS OBJECT COMPLEMENT,Can use adjectives as object complement after 'make'.,"That's something that makes me angry! (Brazil; B1 THRESHOLD; 2010; Portuguese; Pass)

… you should tell them that you don't want to make them sad but you really want to go on holiday with your friends. (Greece; B1 THRESHOLD; 2008; Greek; Pass)

Maria realised that being kind and trying to make other people happy is always the best way! (Iran; B1 THRESHOLD; 2008; Farsi; Pass)"
52,ADJECTIVES,position,B1,N/A,FORM: WITH PRONOUN,"Can use an adjective or adjective phrase after pronouns like 'something', 'nothing', 'somewhere', 'nowhere'.","I like cooking and I want to cook something special. (Slovakia; B1 THRESHOLD; 2002; Slovak; Pass)

But something terrible happened next; I was so nervous that I stopped breathing! (Chile; B1 THRESHOLD; 2009; Spanish - Latin American; Pass)

There is nothing interesting on TV, nothing for teenagers. (other; B1 THRESHOLD; 2010; Others; Pass)"
53,ADJECTIVES,position,B2,1,FORM/USE: DEGREE ADJECTIVES BEFORE NOUNS,"Can use a limited range of degree adjectives ('real', 'absolute', 'complete') before a noun to express intensity.","When tourists arrive, there is no area to park. This is a real problem and our town is becoming very dangerous for children; every week there is an accident. (France; B2 VANTAGE; 1993; French; Pass)

Making friends is easy but to get a real, true friend is hard. (Malaysia; B2 VANTAGE; 2008; Tamil; Pass)

Suddenly the lights went out and I found myself standing in  complete darkness. (Sweden; B2 VANTAGE; 1993; Swedish; Pass)

After the teacher had told us to start, there was absolute silence. (Switzerland; B2 VANTAGE; 1993; German; Pass)"
54,ADJECTIVES,position,B2,N/A,"FORM: ATTRIBUTIVE ONLY, TIME ADJECTIVES","Can use the adjectives 'present', 'future', 'former' before a noun.","I think we all are very concerned about the present situation. (Germany; B2 VANTAGE; 1993; Dutch; Pass)

We would like to hear you talk about your novels, your work in general and about your future plans. (Greece; B2 VANTAGE; 1993; Greek; Pass)

In the big hall, in former times, lots of parties took place. (Germany; B2 VANTAGE; 1998; German; Pass)"
55,ADJECTIVES,position,C1,N/A,FORM: PAST PARTICPLE AS ADJECTIVE,"Can use the '–ed' form of a verb as an adjective, after a noun.","First of all, I would recommend providing a wider range of films and introducing discussions after each film shown. (Poland; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2006; Polish; Pass)

It is believed that if some improvements are made, the club will live up to the high standards required . (Greece; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2007; Greek; Pass)"
56,ADJECTIVES,position,C2,2,FORM/USE: DEGREE ADJECTIVES BEFORE NOUNS,Can use an increasing range of adjectives before a noun to express intensity.,"As a conclusion, I shall say that the major problem concerns the exam. (France; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 1993; French; Pass)

It is located in the very centre of Pisa, in a magnificent ancient building. (Italy; C2 MASTERY; 1993; Italian; Pass)"
57,ADJECTIVES,superlatives,A1,N/A,FORM: 'MY BEST FRIEND',Can use the irregular superlative adjective 'best' in the phrase 'my best friend'.,"She's my best friend. (A1 BREAKTHROUGH; 2006; Polish; Pass)

Shahin is my best friend. (A1 BREAKTHROUGH; 2006; Urdu; Pass)"
58,ADJECTIVES,superlatives,A2,1,FORM/USE: COMPLEX NOUN PHRASES,"Can form a limited range of complex noun phrases with a superlative adjective  + prepositional phrase, to talk about something unique.► noun phrases ►  clauses: comparison","It is the biggest zoo in the world. (Hong Kong; A2 WAYSTAGE; 2001; Chinese; Pass)

They were the happiest days of my life. (Argentina; A2 WAYSTAGE; 2009; Spanish - Latin American; Pass)"
59,ADJECTIVES,superlatives,A2,N/A,FORM/USE: WITH 'IN' + NOUN,Can use prepositional phrases with 'in' + singular name of a place after a superlative adjective.,"It's the biggest room in the house. (Italy; A2 WAYSTAGE; 2000; Italian; Pass)

I bought them because they are the cheapest clothes in the shop. (Italy; A2 WAYSTAGE; 2008; Italian; Pass)"
60,ADJECTIVES,superlatives,A2,N/A,FORM/USE: WITH 'OF' + NOUN,"Can use a limited range of prepositional phrases with 'of' after a superlative adjective, to refer to one thing within a set or part of a set.","My teacher said that it was the best project of all. (Russia; B1 THRESHOLD; 2010; Russian; Pass)

I learned to surf, this was the best part of the trip. (A2 WAYSTAGE; 2008; Portuguese; Pass)

Hi, Ally. You will miss the best party of the year! (Brazil; A2 WAYSTAGE; 2004; Portuguese; Pass)"
61,ADJECTIVES,superlatives,A2,1,"FORM: ELLIPSIS, WITH 'THE'","Can use 'the' with a limited range of superlative adjectives without a following noun, when the noun is understood.","My relatives gave me presents but the computer game was the best. (Turkey; A2 WAYSTAGE; 2004; Turkish; Pass)

But Mark's present was the most beautiful! (Russia; A2 WAYSTAGE; 2004; Russian; Pass)"
62,ADJECTIVES,superlatives,A2,N/A,FORM: WITH '-EST',"Can form superlative adjectives with adjectives of one syllable with a short vowel, by doubling the final consonant and adding '–est'.","… it's the biggest and oldest museum in Libya. (Libya; A2 WAYSTAGE; 2001; Arabic - Meghreb; Pass)

It's the biggest room in the house. (Italy; A2 WAYSTAGE; 2000; Italian; Pass)"
63,ADJECTIVES,superlatives,A2,N/A,FORM: WITH '-EST',"Can form superlative adjectives by adding the suffix '-est', to adjectives of one syllable.","… it's the biggest and oldest museum in Libya. (Libya; A2 WAYSTAGE; 2001; Arabic - Meghreb; Pass)

It was the cheapest in this shop! (Spain; A2 WAYSTAGE; 2008; Spanish - European; Pass)"
64,ADJECTIVES,superlatives,A2,N/A,FORM: WITH '-EST',"Can form superlative adjectives using the '-est' suffix, with adjectives of one syllable, and with two-syllable adjectives ending in -y.","The easiest way to get my house is by Underground. (Brazil; A2 WAYSTAGE; 2009; Portuguese; Pass)

… you are the funniest person that I have ever seen! (Brazil; A2 WAYSTAGE; 2004; Portuguese; Pass)"
65,ADJECTIVES,superlatives,A2,N/A,FORM: WITH 'MY' OR 'YOUR',"Can form a noun phrase with 'my' or 'your' + superlative adjective + noun, with a limited range of nouns and contexts. ► noun phrases","I bought these clothes for my youngest brother .... (Malaysia; A2 WAYSTAGE; 2008; Chinese; Pass)

[talking about painting a room] Please wear your oldest clothes. (Malaysia; A2 WAYSTAGE; 2006; Chinese; Pass)"
66,ADJECTIVES,superlatives,A2,N/A,FORM: WITH '-ST',Can form superlative adjectives using the suffix '-st' to adjectives ending in '–e'.,"I always watch the latest music videos from there. (Malaysia; A2 WAYSTAGE; 2010; Chinese; Pass)

I like it because it's the largest. (Italy; A2 WAYSTAGE; 2004; Italian; Pass)

But the nicest thing at my party was my presents. (Brazil; A2 WAYSTAGE; 2004; Portuguese; Fail)"
67,ADJECTIVES,superlatives,A2,N/A,FORM: WITH 'THE',Can form a noun phrase with 'the' + superlative adjective + noun. ► noun phrases,"It has the latest technology. (Cyprus; A2 WAYSTAGE; 2007; Greek; Pass)

The best place is La Baule, which is Europe's biggest beach. (France; A2 WAYSTAGE; 2001; French; Pass) "
