index ,level ,character ,pinyin
 6.12 ,二级  ,或        ,huò
 6.1  ,一级  ,下        ,xià
 6.1  ,二级  ,过        ,guo
 6.1  ,四级  ,之        ,zhī
 6.1  ,一级  ,过        ,guò
 6.09 ,一级  ,里        ,lǐ
 6.09 ,一级  ,新        ,xīn
 6.08 ,一级  ,地        ,dì
 6.08 ,一级  ,地        ,de
 6.08 ,一级  ,做        ,zuò
 6.08 ,二级  ,由        ,yóu
 6.08 ,三级  ,及        ,jí
 6.07 ,六级  ,没        ,mò
 6.07 ,一级  ,用        ,yòng
 6.07 ,一级  ,没        ,méi
 6.06 ,五级  ,更        ,gēng
 6.06 ,二级  ,更        ,gèng
 6.04 ,四级  ,得        ,děi
 6.04 ,一级  ,得        ,dé
 6.04 ,二级  ,所        ,suǒ
 6.04 ,二级  ,得        ,de
 6.03 ,一级  ,想        ,xiǎng
 6.03 ,一级  ,最        ,zuì
 6.02 ,二级  ,它        ,tā
 6.01 ,一级  ,那        ,nà
 5.98 ,四级  ,吧        ,bā
 5.98 ,一级  ,三        ,sān
 5.98 ,一级  ,吧        ,ba
 5.98 ,二级  ,可        ,kě
 5.96 ,二级  ,该        ,gāi
 5.96 ,二级  ,其        ,qí
 5.94 ,二级  ,只        ,zhǐ
 5.94 ,三级  ,只        ,zhī
 5.94 ,二级  ,向        ,xiàng
 5.93 ,一级  ,前        ,qián
 5.92 ,二级  ,啊        ,a
 5.92 ,四级  ,啊        ,ā
 5.92 ,一级  ,出        ,chū
 5.92 ,二级  ,已        ,yǐ
 5.89 ,六级  ,当        ,dàng
 5.89 ,二级  ,当        ,dāng
 5.89 ,一级  ,小        ,xiǎo
 5.89 ,一级  ,再        ,zài
 5.88 ,四级  ,却        ,què
 5.88 ,一级  ,们        ,men
 5.88 ,三级  ,内        ,nèi
 5.87 ,二级  ,才        ,cái
 5.86 ,一级  ,爱        ,ài
 5.85 ,一级  ,谁        ,shuí
 5.85 ,一级  ,谁        ,shéi
 5.85 ,一级  ,第        ,dì
 5.82 ,一级  ,号        ,hào
 5.79 ,一级  ,事        ,shì
 5.79 ,一级  ,快        ,kuài
 5.78 ,一级  ,比        ,bǐ
 5.78 ,一级  ,跟        ,gēn
 5.77 ,二级  ,长        ,cháng
 5.77 ,二级  ,长        ,zhǎng
 5.77 ,一级  ,请        ,qǐng
 5.76 ,一级  ,呢        ,ne
 5.75 ,一级  ,高        ,gāo
 5.73 ,四级  ,则        ,zé
 5.72 ,一级  ,钱        ,qián
 5.72 ,三级  ,至        ,zhì
 5.7  ,二级  ,使        ,shǐ
 5.7  ,二级  ,万        ,wàn
 5.7  ,一级  ,点        ,diǎn
 5.7  ,二级  ,像        ,xiàng
 5.69 ,一级  ,听        ,tīng
 5.68 ,三级  ,此        ,cǐ
 5.68 ,一级  ,起        ,qǐ
 5.67 ,二级  ,自        ,zì
 5.67 ,一级  ,两        ,liǎng
 5.66 ,二级  ,如        ,rú
 5.66 ,一级  ,走        ,zǒu
 5.66 ,一级  ,国        ,guó
 5.66 ,二级  ,带        ,dài
 5.65 ,一级  ,岁        ,suì
 5.65 ,三级  ,较        ,jiào
 5.65 ,四级  ,无        ,wú
 5.65 ,一级  ,话        ,huà
 5.65 ,一级  ,吃        ,chī
 5.64 ,二级  ,者        ,zhě
 5.64 ,一级  ,太        ,tài
 5.64 ,三级  ,约        ,yuē
 5.64 ,一级  ,么        ,me
 5.64 ,三级  ,区        ,qū
 5.64 ,一级  ,家        ,jiā
 5.63 ,一级  ,开        ,kāi
 5.63 ,一级  ,问        ,wèn
 5.62 ,一级  ,站        ,zhàn
 5.61 ,一级  ,元        ,yuán
 5.61 ,二级  ,成        ,chéng
 5.61 ,一级  ,写        ,xiě
 5.61 ,二级  ,因        ,yīn
 5.6  ,四级  ,打        ,dá
 5.6  ,一级  ,打        ,dǎ
 5.59 ,四级  ,分        ,fèn
 5.59 ,一级  ,分        ,fēn
 5.59 ,一级  ,见        ,jiàn
 5.59 ,三级  ,死        ,sǐ
 5.58 ,三级  ,曾        ,céng
 5.58 ,一级  ,买        ,mǎi
 5.58 ,一级  ,叫        ,jiào
 5.58 ,一级  ,图        ,tú
 5.56 ,一级  ,道        ,dào
 5.56 ,四级  ,即        ,jí
 5.55 ,一级  ,天        ,tiān
 5.55 ,三级  ,总        ,zǒng
 5.54 ,二级  ,应        ,yìng
 5.54 ,二级  ,应        ,yīng
 5.54 ,一级  ,正        ,zhèng
 5.54 ,三级  ,另        ,lìng
 5.53 ,二级  ,便        ,biàn
 5.53 ,六级  ,党        ,dǎng
 5.53 ,二级  ,便        ,pián
 5.53 ,五级  ,间        ,jiàn
 5.53 ,一级  ,间        ,jiān
 5.52 ,一级  ,干        ,gàn
 5.52 ,一级  ,干        ,gān
 5.52 ,三级  ,达        ,dá
 5.52 ,二级  ,发        ,fà
 5.52 ,二级  ,发        ,fā
 5.52 ,一级  ,本        ,běn
 5.52 ,一级  ,名        ,míng
 5.51 ,一级  ,找        ,zhǎo
 5.51 ,二级  ,称        ,chēng
 5.51 ,二级  ,称        ,chèn
 5.5  ,一级  ,您        ,nín
 5.5  ,一级  ,玩        ,wán
 5.49 ,一级  ,进        ,jìn
 5.49 ,四级  ,县        ,xiàn
 5.49 ,二级  ,受        ,shòu
 5.49 ,一级  ,真        ,zhēn
 5.48 ,四级  ,种        ,zhòng
 5.48 ,一级  ,女        ,nǚ
 5.48 ,三级  ,每        ,měi
 5.48 ,三级  ,处        ,chǔ
 5.48 ,二级  ,处        ,chù
 5.48 ,三级  ,种        ,zhǒng
 5.47 ,二级  ,市        ,shì
 5.47 ,三级  ,各        ,gè
 5.46 ,一级  ,网        ,wǎng
 5.46 ,一级  ,作        ,zuò
 5.46 ,四级  ,未        ,wèi
 5.46 ,二级  ,位        ,wèi
 5.46 ,一级  ,老        ,lǎo
 5.46 ,一级  ,次        ,cì
 5.46 ,二级  ,省        ,shěng
 5.46 ,高等  ,省        ,xǐng
 5.45 ,一级  ,外        ,wài
 5.45 ,二级  ,经        ,jīng
 5.44 ,六级  ,副        ,fù
 5.44 ,一级  ,马        ,mǎ
 5.43 ,二级  ,行        ,háng
 5.43 ,三级  ,连        ,lián
 5.43 ,一级  ,行        ,xíng
 5.43 ,三级  ,美        ,měi
 5.43 ,一级  ,路        ,lù
 5.42 ,三级  ,制        ,zhì
 5.42 ,一级  ,拿        ,ná
 5.41 ,四级  ,哪        ,na
 5.41 ,一级  ,同        ,tóng
 5.41 ,三级  ,仍        ,réng
 5.41 ,一级  ,哪        ,nǎ
 5.41 ,五级  ,军        ,jūn
 5.4  ,二级  ,占        ,zhàn
 5.4  ,三级  ,台        ,tái
 5.4  ,五级  ,杀        ,shā
 5.4  ,一级  ,先        ,xiān
 5.39 ,一级  ,学        ,xué
 5.39 ,一级  ,非        ,fēi
 5.39 ,一级  ,二        ,èr
 5.39 ,一级  ,住        ,zhù
 5.39 ,三级  ,据        ,jù
 5.38 ,一级  ,回        ,huí
 5.38 ,高等  ,亦        ,yì
 5.38 ,高等  ,别        ,biè
 5.38 ,一级  ,别        ,bié
 5.38 ,一级  ,书        ,shū
 5.36 ,二级  ,心        ,xīn
 5.36 ,二级  ,讲        ,jiǎng
 5.35 ,一级  ,送        ,sòng
 5.35 ,一级  ,条        ,tiáo
 5.35 ,三级  ,反        ,fǎn
 5.34 ,六级  ,啦        ,la
 5.34 ,五级  ,版        ,bǎn
 5.33 ,三级  ,性        ,xìng
 5.33 ,三级  ,指        ,zhǐ
 5.32 ,一级  ,期        ,qī
 5.32 ,二级  ,法        ,fǎ
 5.32 ,四级  ,均        ,jūn
 5.31 ,一级  ,米        ,mǐ
 5.31 ,二级  ,全        ,quán
 5.31 ,二级  ,变        ,biàn
 5.3  ,一级  ,水        ,shuǐ
 5.3  ,一级  ,生        ,shēng
 5.3  ,二级  ,共        ,gòng
 5.28 ,三级  ,派        ,pài
 5.27 ,五级  ,搞        ,gǎo
 5.27 ,一级  ,车        ,chē
 5.26 ,二级  ,级        ,jí
 5.26 ,一级  ,手        ,shǒu
 5.26 ,二级  ,原        ,yuán
 5.26 ,三级  ,类        ,lèi
 5.25 ,一级  ,场        ,chǎng
 5.25 ,一级  ,些        ,xiē
 5.24 ,三级  ,按        ,àn
 5.24 ,三级  ,线        ,xiàn
 5.24 ,四级  ,型        ,xíng
 5.23 ,二级  ,靠        ,kào
 5.23 ,二级  ,亿        ,yì
 5.23 ,二级  ,报        ,bào
 5.23 ,六级  ,若        ,ruò
 5.23 ,一级  ,跑        ,pǎo
 5.23 ,一级  ,男        ,nán
 5.23 ,高等  ,哦        ,ò
 5.22 ,一级  ,少        ,shǎo
 5.22 ,二级  ,队        ,duì
 5.22 ,二级  ,加        ,jiā
 5.22 ,二级  ,少        ,shào
 5.22 ,二级  ,拉        ,lā
 5.21 ,四级  ,系        ,jì
 5.21 ,一级  ,系        ,xì
 5.21 ,三级  ,拍        ,pāi
 5.21 ,二级  ,且        ,qiě
 5.21 ,二级  ,低        ,dī
 5.21 ,一级  ,门        ,mén
 5.21 ,一级  ,放        ,fàng
 5.2  ,三级  ,金        ,jīn
 5.2  ,一级  ,穿        ,chuān
 5.2  ,三级  ,式        ,shì
 5.2  ,二级  ,完        ,wán
 5.2  ,一级  ,笑        ,xiào
 5.2  ,一级  ,西        ,xī
 5.2  ,二级  ,近        ,jìn
 5.19 ,二级  ,越        ,yuè
 5.19 ,三级  ,属        ,shǔ
 5.19 ,一级  ,难        ,nán
 5.19 ,三级  ,强        ,qiáng
 5.19 ,高等  ,强        ,jiàng
 5.19 ,五级  ,强        ,qiǎng
 5.19 ,二级  ,选        ,xuǎn
 5.19 ,五级  ,难        ,nàn
 5.18 ,六级  ,转        ,zhuàn
 5.18 ,一级  ,四        ,sì
 5.18 ,三级  ,谈        ,tán
 5.18 ,三级  ,张        ,zhāng
 5.18 ,三级  ,任        ,rèn
 5.18 ,三级  ,转        ,zhuǎn
 5.18 ,三级  ,抓        ,zhuā
 5.18 ,二级  ,办        ,bàn
 5.17 ,二级  ,狗        ,gǒu
 5.17 ,一级  ,字        ,zì
 5.17 ,二级  ,卖        ,mài
 5.17 ,二级  ,黑        ,hēi
 5.17 ,一级  ,帮        ,bāng
 5.17 ,三级  ,仅        ,jǐn
 5.17 ,一级  ,东        ,dōng
 5.17 ,一级  ,动        ,dòng
 5.16 ,五级  ,届        ,jiè
 5.16 ,二级  ,黄        ,huáng
 5.16 ,二级  ,部        ,bù
 5.16 ,一级  ,花        ,huā
 5.16 ,二级  ,相        ,xiàng
 5.16 ,一级  ,早        ,zǎo
 5.16 ,二级  ,相        ,xiāng
 5.15 ,二级  ,主        ,zhǔ
 5.15 ,二级  ,段        ,duàn
 5.15 ,一级  ,子        ,zǐ
 5.14 ,一级  ,关        ,guān
 5.14 ,二级  ,件        ,jiàn
 5.14 ,二级  ,信        ,xìn
 5.14 ,二级  ,提        ,tí
 5.14 ,二级  ,算        ,suàn
 5.14 ,高等  ,提        ,dī
 5.13 ,五级  ,令        ,lìng
 5.13 ,三级  ,需        ,xū
 5.13 ,三级  ,管        ,guǎn
 5.13 ,一级  ,五        ,wǔ
 5.13 ,一级  ,错        ,cuò
 5.12 ,二级  ,刚        ,gāng
 5.12 ,一级  ,远        ,yuǎn
 5.11 ,一级  ,面        ,miàn
 5.11 ,一级  ,重        ,zhòng
 5.11 ,二级  ,王        ,wáng
 5.11 ,二级  ,重        ,chóng
 5.11 ,六级  ,嘛        ,ma
 5.1  ,二级  ,倒        ,dào
 5.1  ,二级  ,倒        ,dǎo
 5.1  ,三级  ,神        ,shén
 5.1  ,二级  ,数        ,shǔ
 5.1  ,三级  ,城        ,chéng
 5.1  ,二级  ,数        ,shù
 5.1  ,三级  ,设        ,shè
 5.09 ,三级  ,员        ,yuán
 5.09 ,一级  ,几        ,jǐ
 5.09 ,四级  ,几        ,jī
 5.09 ,四级  ,既        ,jì
 5.09 ,三级  ,团        ,tuán
 5.09 ,二级  ,求        ,qiú
 5.09 ,四级  ,权        ,quán
 5.08 ,六级  ,镇        ,zhèn
 5.08 ,六级  ,逼        ,bī
 5.08 ,二级  ,入        ,rù
 5.08 ,三级  ,群        ,qún
 5.07 ,一级  ,教        ,jiāo
 5.07 ,一级  ,教        ,jiào
 5.07 ,四级  ,呀        ,ya
 5.07 ,一级  ,现        ,xiàn
 5.07 ,三级  ,乡        ,xiāng
 5.07 ,二级  ,组        ,zǔ
 5.07 ,二级  ,头        ,tóu
 5.07 ,四级  ,获        ,huò
 5.06 ,五级  ,德        ,dé
 5.06 ,四级  ,奖        ,jiǎng
 5.06 ,一级  ,南        ,nán
 5.05 ,一级  ,机        ,jī
 5.05 ,三级  ,集        ,jí
 5.05 ,二级  ,定        ,dìng
 5.05 ,二级  ,脸        ,liǎn
 5.05 ,一级  ,读        ,dú
 5.05 ,二级  ,懂        ,dǒng
 5.04 ,一级  ,常        ,cháng
 5.04 ,高等  ,州        ,zhōu
 5.04 ,一级  ,电        ,diàn
 5.04 ,一级  ,假        ,jià
 5.04 ,二级  ,假        ,jiǎ
 5.03 ,二级  ,活        ,huó
 5.03 ,二级  ,换        ,huàn
 5.03 ,二级  ,改        ,gǎi
 5.03 ,二级  ,特        ,tè
 5.03 ,四级  ,项        ,xiàng
 5.02 ,二级  ,离        ,lí
 5.02 ,二级  ,往        ,wǎng
 5.02 ,一级  ,妈        ,mā
 5.01 ,四级  ,亚        ,yà
 5.01 ,三级  ,传        ,chuán
 5.01 ,高等  ,传        ,zhuàn
 5.01 ,一级  ,坐        ,zuò
 5.01 ,三级  ,旧        ,jiù
 5.01 ,四级  ,梦        ,mèng
 5.0  ,三级  ,赢        ,yíng
 5.0  ,二级  ,随        ,suí
 5.0  ,一级  ,体        ,tǐ
 5.0  ,四级  ,著        ,zhù
 5.0  ,二级  ,卡        ,kǎ
 5.0  ,高等  ,喝        ,hè
 5.0  ,高等  ,卡        ,qiǎ
 5.0  ,二级  ,云        ,yún
 5.0  ,一级  ,喝        ,hē
 4.99 ,三级  ,值        ,zhí
 4.99 ,一级  ,热        ,rè
 4.99 ,一级  ,山        ,shān
 4.99 ,一级  ,文        ,wén
 4.99 ,一级  ,语        ,yǔ
 4.99 ,二级  ,周        ,zhōu
 4.99 ,六级  ,遭        ,zāo
 4.99 ,高等  ,斯        ,sī
 4.99 ,二级  ,单        ,dān
 4.99 ,二级  ,度        ,dù
 4.98 ,三级  ,某        ,mǒu
 4.98 ,一级  ,北        ,běi
 4.98 ,一级  ,明        ,míng
 4.98 ,三级  ,双        ,shuāng
 4.98 ,一级  ,页        ,yè
 4.98 ,一级  ,今        ,jīn
 4.98 ,高等  ,皆        ,jiē
 4.98 ,二级  ,科        ,kē
 4.98 ,四级  ,史        ,shǐ
 4.98 ,二级  ,久        ,jiǔ
 4.97 ,一级  ,六        ,liù
 4.97 ,四级  ,尽        ,jìn
 4.97 ,三级  ,尽        ,jǐn
 4.97 ,三级  ,除        ,chú
 4.97 ,四级  ,案        ,àn
 4.97 ,三级  ,村        ,cūn
 4.97 ,一级  ,师        ,shī
 4.97 ,高等  ,兼        ,jiān
 4.97 ,一级  ,半        ,bàn
 4.97 ,三级  ,光        ,guāng
 4.96 ,三级  ,救        ,jiù
 4.96 ,一级  ,包        ,bāo
 4.96 ,三级  ,化        ,huà
 4.96 ,五级  ,尔        ,ěr
 4.96 ,三级  ,李        ,lǐ
 4.96 ,二级  ,街        ,jiē
 4.96 ,四级  ,官        ,guān
 4.96 ,一级  ,睡        ,shuì
 4.95 ,二级  ,克        ,kè
 4.95 ,六级  ,驻        ,zhù
 4.95 ,四级  ,卷        ,juǎn
 4.95 ,二级  ,怕        ,pà
 4.95 ,四级  ,卷        ,juàn
 4.95 ,一级  ,块        ,kuài
 4.95 ,二级  ,言        ,yán
 4.95 ,二级  ,红        ,hóng
 4.95 ,三级  ,格        ,gé
 4.95 ,四级  ,阿        ,ā
 4.95 ,三级  ,初        ,chū
 4.95 ,二级  ,词        ,cí
 4.94 ,五级  ,差        ,chā
 4.94 ,一级  ,风        ,fēng
 4.94 ,二级  ,超        ,chāo
 4.94 ,二级  ,论        ,lùn
 4.94 ,五级  ,差        ,chāi
 4.94 ,三级  ,产        ,chǎn
 4.94 ,高等  ,陈        ,chén
 4.94 ,一级  ,差        ,chà
 4.93 ,二级  ,接        ,jiē
 4.93 ,二级  ,掉        ,diào
 4.93 ,二级  ,画        ,huà
 4.93 ,一级  ,坏        ,huài
 4.93 ,四级  ,战        ,zhàn
 4.93 ,四级  ,贴        ,tiē
 4.93 ,二级  ,节        ,jié
 4.93 ,三级  ,极        ,jí
 4.93 ,二级  ,份        ,fèn
 4.93 ,二级  ,查        ,chá
 4.92 ,二级  ,量        ,liàng
 4.92 ,四级  ,量        ,liáng
 4.92 ,三级  ,待        ,dài
 4.92 ,一级  ,口        ,kǒu
 4.92 ,二级  ,安        ,ān
 4.92 ,五级  ,待        ,dāi
 4.92 ,五级  ,枪        ,qiāng
 4.92 ,二级  ,合        ,hé
 4.91 ,四级  ,操        ,cāo
 4.91 ,二级  ,取        ,qǔ
 4.91 ,一级  ,方        ,fāng
 4.9  ,四级  ,投        ,tóu
 4.9  ,一级  ,白        ,bái
 4.9  ,二级  ,表        ,biǎo
 4.9  ,五级  ,骗        ,piàn
 4.9  ,三级  ,挂        ,guà
 4.9  ,三级  ,领        ,lǐng
 4.89 ,四级  ,倍        ,bèi
 4.89 ,二级  ,复        ,fù
 4.89 ,三级  ,建        ,jiàn
 4.89 ,三级  ,注        ,zhù
 4.89 ,一级  ,毛        ,máo
 4.89 ,二级  ,清        ,qīng
 4.89 ,二级  ,装        ,zhuāng
 4.88 ,二级  ,收        ,shōu
 4.88 ,二级  ,力        ,lì
 4.88 ,三级  ,厂        ,chǎng
 4.88 ,二级  ,层        ,céng
 4.87 ,一级  ,忙        ,máng
 4.87 ,一级  ,病        ,bìng
 4.87 ,三级  ,深        ,shēn
 4.87 ,高等  ,片        ,piān
 4.87 ,二级  ,片        ,piàn
 4.87 ,一级  ,飞        ,fēi
 4.87 ,二级  ,故        ,gù
 4.87 ,三级  ,追        ,zhuī
 4.87 ,二级  ,推        ,tuī
 4.86 ,二级  ,短        ,duǎn
 4.86 ,二级  ,脚        ,jiǎo
 4.86 ,一级  ,班        ,bān
 4.86 ,三级  ,乱        ,luàn
 4.86 ,二级  ,海        ,hǎi
 4.85 ,一级  ,左        ,zuǒ
 4.85 ,高等  ,罗        ,luó
 4.85 ,三级  ,龙        ,lóng
 4.85 ,一级  ,记        ,jì
 4.85 ,二级  ,交        ,jiāo
 4.85 ,二级  ,够        ,gòu
 4.85 ,二级  ,挺        ,tǐng
 4.85 ,五级  ,秒        ,miǎo
 4.85 ,六级  ,岛        ,dǎo
 4.84 ,一级  ,牛        ,niú
 4.84 ,三级  ,敢        ,gǎn
 4.84 ,高等  ,供        ,gòng
 4.84 ,三级  ,跳        ,tiào
 4.84 ,四级  ,冲        ,chōng
 4.84 ,四级  ,供        ,gōng
 4.84 ,二级  ,哭        ,kū
 4.84 ,一级  ,馆        ,guǎn
 4.84 ,六级  ,冲        ,chòng
 4.83 ,四级  ,局        ,jú
 4.83 ,二级  ,照        ,zhào
 4.83 ,一级  ,忘        ,wàng
 4.83 ,三级  ,调        ,diào
 4.83 ,三级  ,调        ,tiáo
 4.83 ,一级  ,球        ,qiú
 4.83 ,一级  ,店        ,diàn
 4.83 ,二级  ,实        ,shí
 4.82 ,三级  ,象        ,xiàng
 4.82 ,二级  ,通        ,tōng
 4.82 ,一级  ,儿        ,ér
 4.82 ,四级  ,率        ,lǜ
 4.82 ,三级  ,义        ,yì
 4.82 ,六级  ,赚        ,zhuàn
 4.82 ,二级  ,座        ,zuò
 4.82 ,一级  ,楼        ,lóu
 4.82 ,四级  ,率        ,shuài
 4.82 ,二级  ,篇        ,piān
 4.82 ,一级  ,视        ,shì
 4.81 ,二级  ,鱼        ,yú
 4.81 ,一级  ,七        ,qī
 4.81 ,二级  ,声        ,shēng
 4.81 ,四级  ,轮        ,lún
 4.81 ,一级  ,肉        ,ròu
 4.8  ,六级  ,股        ,gǔ
 4.8  ,二级  ,物        ,wù
 4.8  ,二级  ,室        ,shì
 4.8  ,四级  ,府        ,fǔ
 4.8  ,二级  ,意        ,yì
 4.8  ,六级  ,罪        ,zuì
 4.8  ,五级  ,抢        ,qiǎng
 4.8  ,三级  ,费        ,fèi
 4.8  ,一级  ,知        ,zhī
 4.8  ,二级  ,弄        ,nòng
 4.8  ,二级  ,留        ,liú
 4.79 ,二级  ,英        ,yīng
 4.79 ,三级  ,布        ,bù
 4.79 ,二级  ,情        ,qíng
 4.79 ,五级  ,骂        ,mà
 4.79 ,四级  ,林        ,lín
 4.79 ,四级  ,替        ,tì
 4.78 ,二级  ,船        ,chuán
 4.78 ,二级  ,平        ,píng
 4.78 ,五级  ,厅        ,tīng
 4.78 ,二级  ,乐        ,yuè
 4.78 ,一级  ,边        ,biān
 4.78 ,一级  ,歌        ,gē
 4.78 ,五级  ,鬼        ,guǐ
 4.78 ,二级  ,乐        ,lè
 4.78 ,五级  ,猜        ,cāi
 4.78 ,二级  ,业        ,yè
 4.78 ,二级  ,愿        ,yuàn
 4.77 ,二级  ,酒        ,jiǔ
 4.77 ,一级  ,九        ,jiǔ
 4.77 ,三级  ,血        ,xiě
 4.77 ,二级  ,感        ,gǎn
 4.77 ,六级  ,血        ,xuè
 4.77 ,三级  ,猪        ,zhū
 4.77 ,五级  ,丢        ,diū
 4.76 ,高等  ,藏        ,zàng
 4.76 ,高等  ,韩        ,hán
 4.76 ,三级  ,输        ,shū
 4.76 ,六级  ,藏        ,cáng
 4.76 ,三级  ,破        ,pò
 4.76 ,一级  ,票        ,piào
 4.76 ,三级  ,命        ,mìng
 4.76 ,一级  ,房        ,fáng
 4.76 ,二级  ,色        ,sè
 4.75 ,二级  ,满        ,mǎn
 4.75 ,三级  ,首        ,shǒu
 4.75 ,二级  ,轻        ,qīng
 4.75 ,三级  ,具        ,jù
 4.75 ,一级  ,气        ,qì
 4.75 ,三级  ,基        ,jī
 4.75 ,四级  ,编        ,biān
 4.74 ,高等  ,圈        ,juàn
 4.74 ,一级  ,十        ,shí
 4.74 ,一级  ,晚        ,wǎn
 4.74 ,二级  ,河        ,hé
 4.74 ,四级  ,圈        ,quān
 4.74 ,二级  ,草        ,cǎo
 4.74 ,四级  ,归        ,guī
 4.74 ,五级  ,款        ,kuǎn
 4.74 ,三级  ,怪        ,guài
 4.74 ,三级  ,器        ,qì
 4.74 ,四级  ,抱        ,bào
 4.73 ,一级  ,身        ,shēn
 4.73 ,二级  ,猫        ,māo
 4.73 ,一级  ,试        ,shì
 4.73 ,三级  ,朝        ,cháo
 4.73 ,三级  ,亲        ,qīn
 4.73 ,高等  ,朝        ,zhāo
 4.73 ,一级  ,课        ,kè
 4.73 ,五级  ,吨        ,dūn
 4.73 ,一级  ,八        ,bā
 4.73 ,五级  ,棒        ,bàng
 4.72 ,高等  ,辖        ,xiá
 4.72 ,二级  ,药        ,yào
 4.72 ,二级  ,腿        ,tuǐ
 4.72 ,四级  ,戴        ,dài
 4.72 ,五级  ,托        ,tuō
 4.72 ,二级  ,题        ,tí
 4.72 ,六级  ,苏        ,sū
 4.72 ,二级  ,公        ,gōng
 4.71 ,二级  ,流        ,liú
 4.71 ,二级  ,鸟        ,niǎo
 4.71 ,五级  ,射        ,shè
 4.71 ,六级  ,圣        ,shèng
 4.71 ,四级  ,诗        ,shī
 4.71 ,四级  ,户        ,hù
 4.71 ,五级  ,陪        ,péi
 4.71 ,二级  ,虽        ,suī
 4.71 ,六级  ,欲        ,yù
 4.71 ,二级  ,铁        ,tiě
 4.71 ,三级  ,哈        ,hā
 4.7  ,三级  ,族        ,zú
 4.7  ,一级  ,星        ,xīng
 4.7  ,一级  ,饭        ,fàn
 4.7  ,三级  ,古        ,gǔ
 4.7  ,六级  ,犯        ,fàn
 4.7  ,一级  ,鸡        ,jī
 4.7  ,三级  ,负        ,fù
 4.7  ,四级  ,巴        ,bā
 4.7  ,二级  ,停        ,tíng
 4.7  ,二级  ,利        ,lì
 4.7  ,四级  ,治        ,zhì
 4.7  ,三级  ,立        ,lì
 4.7  ,三级  ,代        ,dài
 4.7  ,三级  ,华        ,huá
 4.69 ,二级  ,目        ,mù
 4.69 ,三级  ,造        ,zào
 4.69 ,四级  ,依        ,yī
 4.69 ,高等  ,欧        ,ōu
 4.69 ,三级  ,伤        ,shāng
 4.69 ,一级  ,唱        ,chàng
 4.69 ,二级  ,嘴        ,zuǐ
 4.69 ,二级  ,须        ,xū
 4.69 ,四级  ,质        ,zhì
 4.69 ,五级  ,吓        ,xià
 4.69 ,高等  ,吓        ,hè
 4.68 ,六级  ,塔        ,tǎ
 4.68 ,二级  ,必        ,bì
 4.68 ,三级  ,营        ,yíng
