No.,级别,汉字,拼音
412,五级,待,dāi
413,高等,怠,dài
414,四级,袋,dài
415,四级,戴,dài
416,高等,丹,dān
417,四级,担,dān
418,二级,单,dān
419,高等,耽,dān
420,五级,胆,dǎn
421,五级,旦,dàn
422,二级,但,dàn
423,六级,诞,dàn
424,四级,淡,dàn
425,五级,弹,dàn
426,五级,弹,tán
427,一级,蛋,dàn
428,二级,当,dāng
429,六级,当,dàng
430,五级,挡,dǎng
431,六级,党,dǎng
432,高等,荡,dàng
433,六级,档,dàng
434,三级,刀,dāo
435,高等,叨,dāo
436,三级,导,dǎo
437,六级,岛,dǎo
438,高等,捣,dǎo
439,二级,倒,dǎo
440,二级,倒,dào
441,高等,祷,dǎo
442,六级,蹈,dǎo
443,一级,到,dào
444,六级,盗,dào
445,高等,悼,dào
446,一级,道,dào
447,高等,稻,dào
448,一级,得,dé
449,二级,得,de
450,四级,得,děi
451,五级,德,dé
452,一级,地,de
453,一级,地,dì
454,一级,的,de
455,二级,的,dì
456,四级,的,dí
457,二级,灯,dēng
458,四级,登,dēng
459,高等,蹬,dēng
460,一级,等,děng
461,高等,邓,dèng
462,高等,凳,dèng
463,高等,瞪,dèng
464,二级,低,dī
465,高等,堤,dī
466,六级,滴,dī
467,高等,迪,dí
468,四级,敌,dí
469,高等,涤,dí
470,高等,笛,dí
471,六级,抵,dǐ
472,三级,底,dǐ
473,一级,弟,dì
474,六级,帝,dì
475,四级,递,dì
476,一级,第,dì
477,高等,蒂,dì
478,高等,缔,dì
479,高等,颠,diān
480,高等,巅,diān
481,二级,典,diǎn
482,一级,点,diǎn
483,一级,电,diàn
484,高等,甸,diàn
485,一级,店,diàn
486,高等,垫,diàn
487,高等,淀,diàn
488,高等,惦,diàn
489,高等,奠,diàn
490,高等,殿,diàn
491,高等,刁,diāo
492,高等,叼,diāo
493,高等,雕,diāo
494,六级,吊,diào
495,高等,钓,diào
496,三级,调,diào
497,三级,调,tiáo
498,二级,掉,diào
499,高等,爹,diē
500,六级,跌,diē
501,高等,迭,dié
502,高等,谍,dié
503,高等,叠,dié
504,高等,碟,dié
505,高等,丁,dīng
506,高等,叮,dīng
507,高等,盯,dīng
508,四级,顶,dǐng
509,高等,鼎,dǐng
510,三级,订,dìng
511,高等,钉,dìng
512,高等,钉,dīng
513,二级,定,dìng
514,五级,丢,diū
515,一级,东,dōng
516,二级,冬,dōng
517,高等,董,dǒng
518,二级,懂,dǒng
519,一级,动,dòng
520,五级,冻,dòng
521,高等,栋,dòng
522,五级,洞,dòng
523,一级,都,dōu
524,三级,都,dū
525,高等,兜,dōu
526,高等,抖,dǒu
527,高等,陡,dǒu
528,四级,斗,dòu
529,四级,豆,dòu
530,高等,逗,dòu
531,六级,督,dū
532,五级,毒,dú
533,四级,独,dú
534,一级,读,dú
535,四级,堵,dǔ
536,六级,赌,dǔ
537,高等,睹,dǔ
538,高等,杜,dù
539,四级,肚,dù
540,高等,妒,dù
541,二级,度,dù
542,六级,渡,dù
543,六级,端,duān
544,二级,短,duǎn
545,二级,段,duàn
546,三级,断,duàn
547,四级,锻,duàn
548,五级,堆,duī
549,二级,队,duì
550,一级,对,duì
551,高等,兑,duì
552,五级,吨,dūn
553,高等,敦,dūn
554,六级,蹲,dūn
555,高等,盹,dǔn
556,高等,炖,dùn
557,五级,盾,dùn
558,三级,顿,dùn
559,一级,多,duō
560,高等,哆,duō
561,六级,夺,duó
562,五级,朵,duǒ
563,五级,躲,duǒ
564,高等,舵,duò
565,高等,堕,duò
566,高等,惰,duò
567,高等,讹,é
568,高等,俄,é
569,高等,娥,é
570,高等,鹅,é
571,六级,额,é
572,四级,恶,ě
573,高等,恶,è
574,高等,恶,wù
575,高等,厄,è
576,一级,饿,è
577,高等,遏,è
578,高等,鳄,è
579,六级,恩,ēn
580,一级,儿,ér
581,二级,而,ér
582,五级,尔,ěr
583,四级,耳,ěr
584,高等,饵,ěr
585,一级,二,èr
586,二级,发,fā
587,二级,发,fà
588,五级,乏,fá
589,高等,伐,fá
590,五级,罚,fá
591,高等,阀,fá
592,二级,法,fǎ
593,高等,帆,fān
594,六级,番,fān
595,四级,翻,fān
596,六级,凡,fán
597,三级,烦,fán
598,五级,繁,fán
599,三级,反,fǎn
600,五级,返,fǎn
601,六级,犯,fàn
602,一级,饭,fàn
603,五级,泛,fàn
604,三级,范,fàn
605,高等,贩,fàn
606,一级,方,fāng
607,高等,芳,fāng
608,三级,防,fáng
609,高等,妨,fáng
610,高等,肪,fáng
611,一级,房,fáng
612,五级,仿,fǎng
613,三级,访,fǎng
614,高等,纺,fǎng
615,一级,放,fàng
616,一级,飞,fēi
617,一级,非,fēi
618,三级,啡,fēi
619,高等,绯,fēi
620,四级,肥,féi
621,高等,匪,fěi
622,高等,诽,fěi
623,六级,肺,fèi
624,六级,废,fèi
625,高等,沸,fèi
626,三级,费,fèi
627,一级,分,fēn
628,四级,分,fèn
629,高等,芬,fēn
630,高等,吩,fēn
631,四级,纷,fēn
632,六级,氛,fēn
633,高等,坟,fén
634,高等,焚,fén
635,六级,粉,fěn
636,二级,份,fèn
637,四级,奋,fèn
638,高等,粪,fèn
639,六级,愤,fèn
640,三级,丰,fēng
641,一级,风,fēng
642,二级,封,fēng
643,五级,疯,fēng
644,六级,峰,fēng
645,六级,锋,fēng
646,高等,蜂,fēng
647,高等,冯,féng
648,高等,逢,féng
649,高等,缝,féng
650,高等,缝,fèng
651,高等,讽,fěng
652,高等,凤,fèng
653,六级,奉,fèng
654,六级,佛,fó
655,六级,佛,fú
656,三级,否,fǒu
657,三级,夫,fū
658,五级,肤,fū
659,高等,孵,fū
660,高等,敷,fū
661,高等,伏,fú
662,五级,扶,fú
663,一级,服,fú
664,高等,俘,fú
665,六级,浮,fú
666,四级,符,fú
667,高等,袱,fú
668,五级,幅,fú
669,高等,辐,fú
670,三级,福,fú
671,高等,抚,fǔ
672,高等,斧,fǔ
673,四级,府,fǔ
674,高等,俯,fǔ
675,五级,辅,fǔ
676,四级,腐,fǔ
677,三级,父,fù
678,三级,付,fù
679,三级,负,fù
680,四级,妇,fù
681,四级,附,fù
682,高等,咐,fù
683,高等,赴,fù
684,二级,复,fù
685,六级,副,fù
686,高等,赋,fù
687,五级,傅,fù
688,三级,富,fù
689,高等,腹,fù
690,高等,缚,fù
691,高等,覆,fù
692,高等,尬,gà
693,二级,该,gāi
694,二级,改,gǎi
695,高等,丐,gài
696,高等,钙,gài
697,四级,盖,gài
698,高等,溉,gài
699,三级,概,gài
700,一级,干,gān
701,一级,干,gàn
702,高等,甘,gān
703,六级,肝,gān
704,高等,竿,gān
705,高等,尴,gān
706,六级,杆,gǎn
707,高等,杆,gān
708,三级,赶,gǎn
709,三级,敢,gǎn
710,二级,感,gǎn
711,高等,冈,gāng
712,二级,刚,gāng
713,五级,纲,gāng
714,五级,钢,gāng
715,高等,缸,gāng
716,六级,岗,gǎng
717,六级,港,gǎng
718,高等,杠,gàng
719,一级,高,gāo
720,高等,膏,gāo
721,五级,糕,gāo
722,五级,搞,gǎo
723,六级,稿,gǎo
724,一级,告,gào
725,高等,戈,gē
726,一级,哥,gē
727,高等,胳,gē
728,高等,鸽,gē
729,高等,搁,gē
730,高等,割,gē
731,一级,歌,gē
732,五级,革,gé
733,高等,阁,gé
734,三级,格,gé
735,四级,隔,gé
736,一级,个,gè
737,三级,各,gè
738,一级,给,gěi
739,六级,给,jǐ
740,三级,根,gēn
741,一级,跟,gēn
742,高等,耕,gēng
743,高等,耿,gěng
744,二级,更,gèng
745,五级,更,gēng
746,一级,工,gōng
747,高等,弓,gōng
748,二级,公,gōng
749,三级,功,gōng
750,六级,攻,gōng
751,四级,供,gōng
752,高等,供,gòng
753,六级,宫,gōng
754,高等,恭,gōng
755,高等,躬,gōng
756,六级,巩,gǒng
757,高等,拱,gǒng
758,二级,共,gòng
759,六级,贡,gòng
760,高等,勾,gōu
761,五级,沟,gōu
762,高等,钩,gōu
763,二级,狗,gǒu
764,四级,构,gòu
765,四级,购,gòu
766,二级,够,gòu
767,五级,估,gū
768,高等,沽,gū
769,六级,孤,gū
770,三级,姑,gū
771,高等,菇,gū
772,高等,辜,gū
773,三级,古,gǔ
774,六级,谷,gǔ
775,六级,股,gǔ
776,四级,骨,gǔ
777,高等,贾,gǔ
778,五级,鼓,gǔ
779,四级,固,gù
780,二级,故,gù
781,二级,顾,gù
782,高等,雇,gù
783,四级,瓜,guā
784,六级,刮,guā
785,高等,寡,guǎ
786,高等,卦,guà
787,三级,挂,guà
788,高等,乖,guāi
789,六级,拐,guǎi
790,三级,怪,guài
791,一级,关,guān
792,二级,观,guān
793,四级,官,guān
794,高等,棺,guān
795,一级,馆,guǎn
796,三级,管,guǎn
797,六级,贯,guàn
798,五级,冠,guàn
799,二级,惯,guàn
800,高等,灌,guàn
801,高等,罐,guàn
802,三级,光,guāng
803,二级,广,guǎng
804,四级,逛,guàng
805,四级,归,guī
806,高等,龟,guī
807,三级,规,guī
808,高等,闺,guī
809,高等,瑰,guī
810,六级,轨,guǐ
811,五级,鬼,guǐ
812,五级,柜,guì
813,一级,贵,guì
814,高等,桂,guì
815,六级,跪,guì
816,五级,滚,gǔn
817,高等,棍,gùn
818,高等,郭,guō
819,五级,锅,guō
820,一级,国,guó
821,一级,果,guǒ
822,四级,裹,guǒ
823,一级,过,guò
824,二级,过,guo
825,三级,哈,hā
826,一级,还,hái
827,一级,还,huán
828,一级,孩,hái
829,二级,海,hǎi
830,高等,骇,hài
831,三级,害,hài
832,高等,酣,hān
833,四级,含,hán
834,高等,函,hán
835,高等,涵,hán
836,高等,韩,hán
837,四级,寒,hán
838,高等,罕,hǎn
839,二级,喊,hǎn
840,一级,汉,hàn
841,五级,汗,hàn
842,高等,旱,hàn
843,高等,捍,hàn
844,高等,焊,hàn
845,高等,撼,hàn
846,六级,憾,hàn
847,高等,杭,háng
848,四级,航,háng
849,四级,毫,háo
850,五级,豪,háo
851,一级,好,hǎo
852,一级,好,hào
853,一级,号,hào
854,六级,耗,hào
855,高等,浩,hào
856,高等,呵,hē
857,一级,喝,hē
858,高等,喝,hè
859,高等,禾,hé
860,二级,合,hé
861,三级,何,hé
862,一级,和,hé
863,三级,和,huó
864,高等,和,hè
865,二级,河,hé
866,高等,阂,hé
867,高等,荷,hé
868,五级,核,hé
869,五级,盒,hé
870,五级,贺,hè
871,高等,赫,hè
872,高等,鹤,hè
873,二级,黑,hēi
874,高等,嘿,hēi
875,高等,痕,hén
876,一级,很,hěn
877,六级,狠,hěn
878,五级,恨,hèn
879,高等,哼,hēng
880,高等,恒,héng
881,六级,横,héng
882,高等,横,hèng
883,六级,衡,héng
884,高等,轰,hōng
885,高等,哄,hōng
886,高等,哄,hǒng
887,高等,哄,hòng
888,高等,烘,hōng
889,高等,弘,hóng
890,二级,红,hóng
891,六级,宏,hóng
892,高等,虹,hóng
893,六级,洪,hóng
894,高等,喉,hóu
895,五级,猴,hóu
896,高等,吼,hǒu
897,一级,后,hòu
898,四级,厚,hòu
899,一级,候,hòu
900,四级,乎,hū
901,四级,呼,hū
902,二级,忽,hū
903,高等,弧,hú
904,五级,胡,hú
905,六级,壶,hú
906,二级,湖,hú
907,五级,糊,hú
908,五级,虎,hǔ
909,高等,唬,hǔ
910,三级,互,hù
911,四级,户,hù
912,二级,护,hù
913,高等,沪,hù
914,一级,花,huā
915,三级,华,huá
916,高等,哗,huá
917,高等,猾,huá
918,五级,滑,huá
919,三级,化,huà
920,二级,划,huà
921,三级,划,huá
922,二级,画,huà
923,一级,话,huà
924,四级,怀,huái
925,高等,徊,huái
926,高等,淮,huái
927,高等,槐,huái
928,一级,坏,huài
929,一级,欢,huān
930,三级,环,huán
931,四级,缓,huǎn
932,六级,幻,huàn
933,二级,换,huàn
934,高等,唤,huàn
935,六级,患,huàn
936,高等,焕,huàn
937,高等,痪,huàn
938,高等,荒,huāng
939,五级,慌,huāng
940,六级,皇,huáng
941,二级,黄,huáng
942,高等,凰,huáng
943,高等,煌,huáng
944,高等,恍,huǎng
945,高等,晃,huàng
946,高等,晃,huǎng
947,高等,谎,huǎng
948,五级,灰,huī
949,四级,挥,huī
950,五级,恢,huī
951,六级,辉,huī
952,高等,徽,huī
953,一级,回,huí
954,五级,悔,huǐ
955,六级,毁,huǐ
956,高等,卉,huì
957,四级,汇,huì
958,一级,会,huì
959,四级,会,kuài
960,高等,讳,huì
961,六级,绘,huì
962,高等,贿,huì
963,高等,秽,huì
964,五级,惠,huì
965,六级,慧,huì
966,六级,昏,hūn
967,三级,婚,hūn
968,高等,浑,hún
969,高等,魂,hún
970,六级,混,hùn
971,高等,豁,huō
972,高等,豁,huò
973,二级,活,huó
974,一级,火,huǒ
975,四级,伙,huǒ
976,二级,或,huò
977,四级,货,huò
978,四级,获,huò
979,高等,祸,huò
980,高等,惑,huò
981,高等,霍,huò
982,高等,讥,jī
983,五级,击,jī
984,高等,饥,jī
985,四级,圾,jī
986,一级,机,jī
987,五级,肌,jī
988,一级,鸡,jī
989,三级,积,jī
990,三级,基,jī
991,高等,缉,jī
992,高等,畸,jī
993,高等,稽,jī
994,四级,激,jī
995,三级,及,jí
996,六级,吉,jí
997,二级,级,jí
998,三级,极,jí
999,四级,即,jí
1000,二级,急,jí
1001,六级,疾,jí
1002,高等,棘,jí
1003,三级,集,jí
1004,五级,辑,jí
1005,高等,嫉,jí
1006,五级,籍,jí
1007,一级,几,jǐ
1008,四级,几,jī
1009,二级,己,jǐ
1010,五级,挤,jǐ
1011,高等,脊,jǐ
1012,二级,计,jì
1013,一级,记,jì
1014,三级,纪,jì
1015,三级,技,jì
1016,高等,忌,jì
1017,二级,际,jì
1018,四级,季,jì
1019,高等,剂,jì
1020,高等,迹,jì
1021,三级,济,jì
1022,四级,既,jì
1023,三级,继,jì
1024,高等,祭,jì
1025,四级,寄,jì
1026,高等,寂,jì
1027,二级,绩,jì
1028,二级,加,jiā
1029,五级,夹,jiā
1030,六级,佳,jiā
1031,一级,家,jiā
1032,六级,嘉,jiā
1033,高等,颊,jiá
1034,五级,甲,jiǎ
1035,三级,价,jià
1036,五级,驾,jià
1037,三级,架,jià
1038,一级,假,jià
1039,二级,假,jiǎ
1040,高等,嫁,jià
1041,高等,稼,jià
1042,六级,尖,jiān
1043,高等,奸,jiān
1044,高等,歼,jiān
1045,三级,坚,jiān
1046,一级,间,jiān
1047,五级,间,jiàn
1048,五级,肩,jiān
1049,五级,艰,jiān
1050,六级,监,jiān
1051,高等,兼,jiān
1052,高等,煎,jiān
1053,高等,拣,jiǎn
1054,高等,柬,jiǎn
1055,高等,俭,jiǎn
1056,六级,捡,jiǎn
1057,二级,检,jiǎn
1058,四级,减,jiǎn
1059,五级,剪,jiǎn
1060,三级,简,jiǎn
1061,一级,见,jiàn
1062,二级,件,jiàn
1063,三级,建,jiàn
1064,高等,荐,jiàn
1065,高等,贱,jiàn
1066,六级,剑,jiàn
1067,二级,健,jiàn
1068,六级,舰,jiàn
1069,四级,渐,jiàn
1070,六级,践,jiàn
1071,高等,溅,jiàn
1072,六级,鉴,jiàn
1073,五级,键,jiàn
1074,六级,箭,jiàn
1075,四级,江,jiāng
1076,三级,将,jiāng
1077,高等,将,jiàng
1078,高等,姜,jiāng
1079,高等,浆,jiāng
1080,高等,僵,jiāng
1081,高等,疆,jiāng
1082,二级,讲,jiǎng
1083,四级,奖,jiǎng
1084,高等,桨,jiǎng
1085,高等,匠,jiàng
1086,四级,降,jiàng
1087,高等,降,xiáng
1088,六级,酱,jiàng
1089,二级,交,jiāo
1090,五级,郊,jiāo
1091,高等,浇,jiāo
1092,高等,娇,jiāo
1093,六级,骄,jiāo
1094,五级,胶,jiāo
1095,一级,教,jiāo
1096,一级,教,jiào
1097,高等,椒,jiāo
1098,六级,焦,jiāo
1099,高等,跤,jiāo
1100,三级,蕉,jiāo
1101,高等,礁,jiāo
1102,高等,嚼,jiáo
1103,二级,角,jiǎo
1104,四级,角,jué
1105,高等,狡,jiǎo
1106,二级,饺,jiǎo
1107,高等,绞,jiǎo
1108,高等,矫,jiǎo
1109,二级,脚,jiǎo
1110,高等,搅,jiǎo
1111,高等,缴,jiǎo
1112,一级,叫,jiào
1113,一级,觉,jiào
1114,一级,觉,jué
1115,高等,轿,jiào
1116,三级,较,jiào
1117,高等,酵,jiào
1118,四级,阶,jiē
1119,高等,皆,jiē
1120,二级,接,jiē
1121,六级,揭,jiē
1122,二级,街,jiē
1123,二级,节,jié
1124,高等,劫,jié
1125,六级,杰,jié
1126,六级,洁,jié
1127,二级,结,jié
1128,三级,结,jiē
1129,高等,捷,jié
1130,六级,截,jié
1131,高等,竭,jié
1132,一级,姐,jiě
1133,三级,解,jiě
1134,一级,介,jiè
1135,五级,戒,jiè
1136,五级,届,jiè
1137,三级,界,jiè
1138,高等,诫,jiè
1139,二级,借,jiè
1140,四级,巾,jīn
1141,二级,斤,jīn
1142,一级,今,jīn
1143,三级,金,jīn
1144,高等,津,jīn
1145,高等,筋,jīn
1146,三级,仅,jǐn
1147,三级,尽,jǐn
1148,四级,尽,jìn
1149,三级,紧,jǐn
1150,高等,锦,jǐn
1151,高等,谨,jǐn
1152,一级,进,jìn
1153,二级,近,jìn
1154,四级,劲,jìn
1155,高等,晋,jìn
1156,高等,浸,jìn
1157,四级,禁,jìn
1158,六级,禁,jīn
1159,高等,茎,jīng
1160,一级,京,jīng
1161,二级,经,jīng
1162,高等,荆,jīng
1163,四级,惊,jīng
1164,高等,晶,jīng
1165,二级,睛,jīng
1166,高等,兢,jīng
1167,三级,精,jīng
1168,六级,井,jǐng
1169,高等,阱,jǐng
1170,高等,颈,jǐng
1171,三级,景,jǐng
1172,三级,警,jǐng
1173,六级,径,jìng
1174,一级,净,jìng
1175,五级,竞,jìng
1176,四级,竟,jìng
1177,五级,敬,jìng
1178,二级,静,jìng
1179,三级,境,jìng
1180,四级,镜,jìng
1181,高等,窘,jiǒng
1182,六级,纠,jiū
1183,四级,究,jiū
1184,高等,揪,jiū
1185,一级,九,jiǔ
1186,二级,久,jiǔ
1187,高等,灸,jiǔ
1188,二级,酒,jiǔ
1189,三级,旧,jiù
1190,三级,救,jiù
1191,一级,就,jiù
1192,高等,舅,jiù
1193,高等,拘,jū
1194,四级,居,jū
1195,高等,鞠,jū
1196,四级,局,jú
1197,高等,菊,jú
1198,高等,橘,jú
1199,高等,沮,jǔ
