No.,级别,词语,拼音,词性
1992,六级,渡,dù,动
1993,高等,渡过,dùguò,
1994,六级,端,duān,动
1995,六级,端午节,Duānwǔ Jié,名
1996,高等,端正,duānzhèng,形、动
1997,二级,短,duǎn,形
1998,三级,短处,duǎnchù,名
1999,三级,短裤,duǎnkù,名
2000,六级,短片,duǎnpiàn,名
2001,三级,短期,duǎnqī,名
2002,高等,短缺,duǎnquē,动
2003,二级,短信,duǎnxìn,名
2004,高等,短暂,duǎnzàn,形
2005,二级,段,duàn,量
2006,高等,段落,duànluò,名
2007,三级,断,duàn,动
2008,高等,断定,duàndìng,动
2009,高等,断断续续,duànduànxùxù,形
2010,高等,断裂,duànliè,动
2011,四级,锻炼,duànliàn,动
2012,五级,堆,duī,动、名、量
2013,高等,堆砌,duīqì,动
2014,二级,队,duì,名
2015,六级,队伍,duìwu,名
2016,高等,队形,duìxíng,名
2017,三级,队员,duìyuán,名
2018,二级,队长,duìzhǎng,名
2019,一级,对,duì,形
2020,二级,对（介、动）,duì,介、动
2021,高等,对白,duìbái,名
2022,四级,对比,duìbǐ,动、名
2023,一级,对不起,duìbuqǐ,动
2024,高等,对策,duìcè,名
2025,高等,对称,duìchèn,形
2026,三级,对待,duìdài,动
2027,高等,对得起,duìdeqǐ,动
2028,三级,对方,duìfāng,名
2029,四级,对付,duìfu,动
2030,二级,对话,duìhuà,动、名
2031,六级,对抗,duìkàng,动
2032,五级,对立,duìlì,动
2033,高等,对联,duìlián,名
2034,二级,对面,duìmiàn,名
2035,三级,对手,duìshǒu,名
2036,六级,对外,duìwài,动
2037,三级,对象,duìxiàng,名
2038,高等,对弈,duìyì,动
2039,五级,对应,duìyìng,动
2040,四级,对于,duìyú,介
2041,高等,对照,duìzhào,动
2042,高等,对峙,duìzhì,动
2043,高等,对准,duìzhǔn,
2044,高等,兑换,duìhuàn,动
2045,高等,兑现,duìxiàn,动
2046,五级,吨,dūn,量
2047,高等,敦促,dūncù,动
2048,高等,敦厚,dūnhòu,形
2049,六级,蹲,dūn,动
2050,高等,炖,dùn,动
2051,三级,顿,dùn,量
2052,高等,多,dùnshí,副
2053,一级,多,duō,形、代
2054,二级,多（副）,duō,副
2055,六级,多半,duōbàn,数、副
2056,高等,多边,duōbiān,形
2057,四级,多次,duō cì,
2058,六级,多方面,duō fāngmiàn,
2059,高等,多功能,duōgōngnéng,形
2060,二级,多久,duōjiǔ,代
2061,高等,多亏,duōkuī,动
2062,高等,多劳多得,duōláo-duōdé,
2063,二级,多么,duōme,副
2064,六级,多媒体,duōméitǐ,名
2065,四级,多年,duō nián,
2066,高等,多年来,duō nián lái,
2067,一级,多少,duōshao,代
2068,二级,多数,duōshù,名
2069,高等,多心,duō∥xīn,
2070,四级,多样,duōyàng,形
2071,高等,多余,duōyú,动、形
2072,高等,多元,duōyuán,形
2073,二级,多云,duōyún,名
2074,四级,多种,duō zhǒng,
2075,高等,哆嗦,duōsuo,动
2076,六级,夺,duó,动
2077,高等,夺冠,duó∥guàn,
2078,高等,夺魁,duó∥kuí,
2079,六级,夺取,duóqǔ,动
2080,五级,朵,duǒ,量
2081,五级,躲,duǒ,动
2082,高等,躲避,duǒbì,动
2083,高等,躲藏,duǒcáng,动
2084,高等,舵手,duòshǒu,名
2085,高等,堕落,duòluò,动
2086,高等,讹诈,ézhà,动
2087,高等,俄语,Éyǔ,名
2088,高等,鹅,é,名
2089,高等,额外,éwài,形
2090,四级,恶心,ěxin,形、动
2091,高等,厄运,èyùn,名
2092,高等,恶,è,形
2093,高等,恶化,èhuà,动
2094,高等,恶劣,èliè,形
2095,高等,恶性,èxìng,形
2096,高等,恶意,èyì,名
2097,一级,饿,è,形、动
2098,高等,遏制,èzhì,动
2099,高等,鳄鱼,èyú,名
2100,高等,恩赐,ēncì,动
2101,高等,恩惠,ēnhuì,名
2102,高等,恩情,ēnqíng,名
2103,六级,恩人,ēnrén,名
2104,高等,恩怨,ēnyuàn,名
2105,六级,儿科,érkē,名
2106,五级,儿女,érnǚ,名
2107,四级,儿童,értóng,名
2108,一级,儿子,érzi,名
2109,四级,而,ér,连
2110,二级,而且,érqiě,连
2111,四级,而是,ér shì,
2112,高等,而已,éryǐ,助
2113,五级,耳朵,ěrduo,名
2114,高等,耳光,ěrguāng,名
2115,四级,耳机,ěrjī,名
2116,高等,耳目一新,ěrmù-yìxīn,
2117,高等,耳熟能详,ěrshú-néngxiáng,
2118,高等,耳闻目睹,ěrwén-mùdǔ,
2119,一级,二,èr,数
2120,四级,二手,èrshǒu,形
2121,高等,二手车,èrshǒuchē,名
2122,五级,二维码,èrwéimǎ,名
2123,高等,二氧化碳,èryǎnghuàtàn,名
2124,二级,发,fā,动
2125,三级,发表,fābiǎo,动
2126,六级,发病,fā∥bìng,
2127,五级,发布,fābù,动
2128,高等,发布会,fābùhuì,名
2129,高等,发财,fā∥cái,
2130,高等,发愁,fā∥chóu,
2131,三级,发出,fāchū,动
2132,三级,发达,fādá,形
2133,六级,发电,fā∥diàn,
2134,高等,发电机,fādiànjī,名
2135,三级,发动,fādòng,动
2136,高等,发抖,fādǒu,动
2137,六级,发放,fāfàng,动
2138,高等,发愤图强,fāfèn-túqiáng,
2139,高等,发光,fā∥guāng,
2140,四级,发挥,fāhuī,动
2141,高等,发火,fā∥huǒ,
2142,高等,发酵,fā∥jiào,
2143,五级,发觉,fājué,动
2144,高等,发掘,fājué,动
2145,高等,发愣,fā∥lèng,
2146,三级,发明,fāmíng,动、名
2147,六级,发怒,fā∥nù,
2148,高等,发脾气,fā píqi,
2149,四级,发票,fāpiào,名
2150,六级,发起,fāqǐ,动
2151,高等,发起人,fāqǐrén,名
2152,高等,发热,fā∥rè,
2153,四级,发烧,fā∥shāo,
2154,五级,发射,fāshè,动
2155,三级,发生,fāshēng,动
2156,高等,发誓,fā∥shì,
2157,三级,发送,fāsòng,动
2158,二级,发现,fāxiàn,动、名
2159,高等,发泄,fāxiè,动
2160,五级,发行,fāxíng,动
2161,三级,发言,fāyán,动、名
2162,六级,发言人,fāyánrén,名
2163,六级,发炎,fāyán,动
2164,高等,发扬,fāyáng,动
2165,高等,发扬光大,fāyáng-guāngdà,
2166,高等,发育,fāyù,动
2167,高等,发源地,fāyuándì,名
2168,三级,发展,fāzhǎn,动、名
2169,高等,发作,fāzuò,动
2170,五级,罚,fá,动
2171,五级,罚款,fákuǎn,名
2172,高等,阀门,fámén,名
2173,四级,法,fǎ,名
2174,四级,法官,fǎguān,名
2175,五级,法规,fǎguī,名
2176,四级,法律,fǎlǜ,名
2177,六级,法庭,fǎtíng,名
2178,六级,法语,Fǎyǔ,名
2179,四级,法院,fǎyuàn,名
2180,五级,法制,fǎzhì,名
2181,高等,发型,fàxíng,名
2182,高等,帆,fān,名
2183,高等,帆船,fānchuán,名
2184,六级,番,fān,量
2185,六级,番茄,fānqié,名
2186,四级,翻,fān,动
2187,高等,翻番,fān∥fān,
2188,高等,翻来覆去,fānlái-fùqù,
2189,高等,翻天覆地,fāntiān-fùdì,
2190,四级,翻译,fānyì,动、名
2191,高等,凡,fán,副
2192,六级,凡是,fánshì,副
2193,四级,烦,fán,形、动
2194,高等,烦闷,fánmèn,形
2195,高等,烦恼,fánnǎo,形
2196,高等,烦躁,fánzào,形
2197,高等,繁华,fánhuá,形
2198,高等,繁忙,fánmáng,形
2199,五级,繁荣,fánróng,形、动
2200,高等,繁体字,fántǐzì,名
2201,六级,繁殖,fánzhí,动
2202,高等,繁重,fánzhòng,形
2203,四级,反,fǎn,形、动、副
2204,高等,反驳,fǎnbó,动
2205,高等,反差,fǎnchā,名
2206,高等,反常,fǎncháng,形
2207,高等,反倒,fǎndào,副
2208,三级,反对,fǎnduì,动
2209,四级,反而,fǎn’ér,副
2210,三级,反复,fǎnfù,副、名
2211,高等,反感,fǎngǎn,形、名
2212,高等,反过来,fǎn ·guò·lái,
2213,高等,反击,fǎnjī,动
2214,六级,反抗,fǎnkàng,动
2215,高等,反馈,fǎnkuì,动
2216,高等,反面,fǎnmiàn,名、形
2217,高等,反思,fǎnsī,动
2218,高等,反弹,fǎntán,动
2219,六级,反问,fǎnwèn,动
2220,六级,反响,fǎnxiǎng,名
2221,高等,反省,fǎnxǐng,动
2222,三级,反应,fǎnyìng,动、名
2223,四级,反映,fǎnyìng,动、名
2224,三级,反正,fǎn·zhèng,副
2225,高等,返还,fǎnhuán,动
2226,五级,返回,fǎnhuí,动
2227,六级,犯,fàn,动
2228,高等,犯愁,fàn∥chóu,
2229,六级,犯规,fàn∥guī,
2230,六级,犯罪,fàn∥zuì,
2231,一级,饭,fàn,名
2232,一级,饭店,fàndiàn,名
2233,二级,饭馆,fànguǎn,名
2234,高等,饭碗,fànwǎn,名
2235,高等,泛滥,fànlàn,动
2236,高等,范畴,fànchóu,名
2237,三级,范围,fànwéi,名
2238,高等,贩卖,fànmài,动
2239,四级,方,fāng,形、名
2240,四级,方案,fāng’àn,名
2241,二级,方便,fāngbiàn,形
2242,二级,方便面,fāngbiànmiàn,名
2243,二级,方法,fāngfǎ,名
2244,高等,方方面面,fāngfāngmiànmiàn,名
2245,二级,方面,fāngmiàn,名
2246,三级,方式,fāngshì,名
2247,二级,方向,fāngxiàng,名
2248,高等,方向盘,fāngxiàngpán,名
2249,高等,方言,fāngyán,名
2250,四级,方针,fāngzhēn,名
2251,三级,防,fáng,动
2252,高等,防盗,fángdào,动
2253,高等,防盗门,fángdàomén,名
2254,六级,防范,fángfàn,动
2255,高等,防护,fánghù,动
2256,高等,防火墙,fánghuǒqiáng,名
2257,六级,防守,fángshǒu,动
2258,高等,防卫,fángwèi,动
2259,高等,防汛,fángxùn,动
2260,高等,防疫,fángyì,动
2261,高等,防御,fángyù,动
2262,三级,防止,fángzhǐ,动
2263,五级,防治,fángzhì,动
2264,高等,妨碍,fáng’ài,动
2265,高等,妨害,fánghài,动
2266,高等,房地产,fángdìchǎn,名
2267,三级,房东,fángdōng,名
2268,六级,房价,fángjià,名
2269,一级,房间,fángjiān,名
2270,三级,房屋,fángwū,名
2271,一级,房子,fángzi,名
2272,三级,房租,fángzū,名
2273,高等,仿,fǎng,动
2274,六级,仿佛,fǎngfú,副
2275,高等,仿制,fǎngzhì,动
2276,高等,访谈,fǎngtán,动
2277,三级,访问,fǎngwèn,动
2278,高等,纺织,fǎngzhī,动
2279,一级,放,fàng,动
2280,五级,放大,fàngdà,动
2281,三级,放到,fàngdào,
2282,高等,放过,fàngguò,
2283,一级,放假,fàng∥jià,
2284,五级,放弃,fàngqì,动
2285,高等,放水,fàng∥shuǐ,
2286,高等,放肆,fàngsì,形
2287,四级,放松,fàngsōng,动
2288,二级,放下,fàngxia,
2289,二级,放心,fàng∥xīn,
2290,一级,放学,fàng∥xué,
2291,高等,放映,fàngyìng,动
2292,高等,放置,fàngzhì,动
2293,高等,放纵,fàngzòng,动
2294,一级,飞,fēi,动
2295,六级,飞船,fēichuán,名
2296,一级,飞机,fēijī,名
2297,高等,飞速,fēisù,副
2298,高等,飞往,fēiwǎng,
2299,高等,飞翔,fēixiáng,动
2300,三级,飞行,fēixíng,动
2301,六级,飞行员,fēixíngyuán,名
2302,高等,飞跃,fēiyuè,动
2303,四级,非,fēi,副
2304,高等,非（非金属）,fēi (fēijīnshǔ),前缀
2305,一级,非常,fēicháng,副
2306,高等,非得,fēiděi,副
2307,高等,非法,fēifǎ,形
2308,高等,非凡,fēifán,形
2309,高等,绯闻,fēiwén,名
2310,四级,肥,féi,形
2311,高等,肥料,féiliào,名
2312,高等,肥胖,féipàng,形
2313,高等,肥沃,féiwò,形
2314,高等,肥皂,féizào,名
2315,高等,诽谤,fěibàng,动
2316,六级,肺,fèi,名
2317,高等,废,fèi,形、动
2318,高等,废除,fèichú,动
2319,高等,废话,fèihuà,名
2320,高等,废品,fèipǐn,名
2321,高等,废寝忘食,fèiqǐn-wàngshí,
2322,高等,废物,fèiwù,名
2323,高等,废墟,fèixū,名
2324,高等,沸沸扬扬,fèifèiyángyáng,形
2325,高等,沸腾,fèiténg,动
2326,三级,费,fèi,动、名
2327,高等,费劲,fèi∥jìn,
2328,三级,费用,fèiyong,名
2329,一级,分,fēn,名、量
2330,二级,分（动）,fēn,动
2331,高等,分辨,fēnbiàn,动
2332,三级,分别,fēnbié,动、副
2333,四级,分布,fēnbù,动
2334,五级,分成,fēnchéng,
2335,高等,分寸,fēncun,名
2336,高等,分担,fēndān,动
2337,高等,分割,fēngē,动
2338,六级,分工,fēn∥gōng,
2339,高等,分红,fēn∥hóng,
2340,高等,分化,fēnhuà,动
2341,五级,分解,fēnjiě,动
2342,二级,分开,fēn∥kāi,
2343,五级,分类,fēn∥lèi,
2344,五级,分离,fēnlí,动
2345,六级,分裂,fēnliè,动
2346,高等,分泌,fēnmì,动
2347,高等,分明,fēnmíng,形、副
2348,三级,分配,fēnpèi,动
2349,高等,分歧,fēnqí,名、形
2350,四级,分散,fēnsàn,动、形
2351,四级,分手,fēn∥shǒu,
2352,二级,分数,fēnshù,名
2353,四级,分为,fēnwéi,
2354,五级,分析,fēnxī,动
2355,五级,分享,fēnxiǎng,动
2356,高等,分赃,fēn∥zāng,
2357,四级,…分之…,…fēn zhī…,
2358,高等,分支,fēnzhī,名
2359,二级,分钟,fēnzhōng,量
2360,三级,分组,fēn zǔ,
2361,高等,芬芳,fēnfāng,形、名
2362,高等,吩咐,fēn·fù,动
2363,四级,纷纷,fēnfēn,副
2364,高等,氛围,fēnwéi,名
2365,高等,坟,fén,名
2366,高等,坟墓,fénmù,名
2367,高等,焚烧,fénshāo,动
2368,高等,粉,fěn,名
2369,高等,粉丝,fěnsī,名
2370,高等,粉碎,fěnsuì,形、动
2371,高等,分量,fèn·liàng,名
2372,高等,分外,fènwài,副
2373,二级,份,fèn,量
2374,高等,份额,fèn’é,名
2375,四级,奋斗,fèndòu,动
2376,高等,奋力,fènlì,副
2377,高等,奋勇,fènyǒng,动
2378,高等,粪,fèn,名
2379,高等,粪便,fènbiàn,名
2380,六级,愤怒,fènnù,形
2381,三级,丰富,fēngfù,形
2382,高等,丰富多彩,fēngfù-duōcǎi,
2383,高等,丰厚,fēnghòu,形
2384,高等,丰满,fēngmǎn,形
2385,高等,丰盛,fēngshèng,形
2386,五级,丰收,fēngshōu,动
2387,高等,丰硕,fēngshuò,形
2388,一级,风,fēng,名
2389,六级,风暴,fēngbào,名
2390,高等,风波,fēngbō,名
2391,高等,风采,fēngcǎi,名
2392,高等,风餐露宿,fēngcān-lùsù,
2393,五级,风度,fēngdù,名
2394,高等,风范,fēngfàn,名
2395,高等,风风雨雨,fēngfēngyǔyǔ,名
2396,四级,风格,fēnggé,名
2397,五级,风光,fēngguāng,名
2398,高等,风和日丽,fēnghé-rìlì,
2399,四级,风景,fēngjǐng,名
2400,高等,风浪,fēnglàng,名
2401,高等,风力,fēnglì,名
2402,高等,风流,fēngliú,形
2403,高等,风貌,fēngmào,名
2404,高等,风气,fēngqì,名
2405,高等,风情,fēngqíng,名
2406,高等,风趣,fēngqù,名
2407,高等,风沙,fēngshā,名
2408,高等,风尚,fēngshàng,名
2409,高等,风水,fēng·shuǐ,名
2410,四级,风俗,fēngsú,名
2411,高等,风味,fēngwèi,名
2412,三级,风险,fēngxiǎn,名
2413,高等,风雨,fēngyǔ,名
2414,高等,风云,fēngyún,名
2415,高等,封,fēngzheng,名
2416,二级,封,fēng,量
2417,五级,封（动）,fēng,动
2418,四级,封闭,fēngbì,动、形
2419,高等,封顶,fēngdǐng,动
2420,高等,封建,fēngjiàn,名、形
2421,高等,封面,fēngmiàn,名
2422,高等,封锁,fēngsuǒ,动
2423,五级,疯,fēng,形
2424,五级,疯狂,fēngkuáng,形
2425,高等,疯子,fēngzi,名
2426,高等,峰回路转,fēnghuí-lùzhuǎn,
2427,六级,峰会,fēnghuì,名
2428,高等,蜂蜜,fēngmì,名
2429,高等,逢,féng,动
2430,高等,缝,féng,动
2431,高等,缝合,fénghé,动
2432,高等,讽刺,fěngcì,动
2433,高等,凤凰,fènghuáng,名
2434,六级,奉献,fèngxiàn,动
2435,高等,缝,fèng,名
2436,六级,佛,fó,名
2437,六级,佛教,Fójiào,名
2438,三级,否定,fǒudìng,动、形
2439,高等,否决,fǒujué,动
2440,三级,否认,fǒurèn,动
2441,四级,否则,fǒuzé,连
2442,四级,夫妇,fūfù,名
2443,四级,夫妻,fūqī,名
2444,四级,夫人,fū·rén,名
2445,高等,孵化,fūhuà,动
2446,高等,敷,fū,动
2447,五级,扶,fú,动
2448,高等,扶持,fúchí,动
2449,六级,服,fú,动
2450,五级,服从,fúcóng,动
2451,高等,服饰,fúshì,名
2452,二级,服务,fúwù,动
2453,高等,服务器,fúwùqì,名
2454,高等,服用,fúyòng,动
2455,三级,服装,fúzhuāng,名
2456,高等,俘获,fúhuò,动
2457,高等,俘虏,fúlǔ,名
2458,六级,浮,fú,动
2459,高等,浮力,fúlì,名
2460,高等,浮现,fúxiàn,动
2461,高等,浮躁,fúzào,形
2462,四级,符号,fúhào,名
2463,四级,符合,fúhé,动
2464,五级,幅,fú,量
2465,五级,幅度,fúdù,名
2466,高等,辐射,fúshè,动
2467,三级,福,fú,名
2468,五级,福利,fúlì,名
2469,高等,福气,fúqi,名
2470,高等,抚摸,fǔmō,动
2471,高等,抚恤,fǔxù,动
2472,高等,抚养,fǔyǎng,动
2473,高等,抚养费,fǔyǎngfèi,名
2474,高等,斧子,fǔzi,名
2475,高等,俯首,fǔshǒu,动
2476,高等,辅导,fǔdǎo,动
2477,五级,辅助,fǔzhù,动
2478,高等,腐败,fǔbài,形
2479,高等,腐化,fǔhuà,动
2480,高等,腐烂,fǔlàn,动、形
2481,高等,腐蚀,fǔshí,动
2482,高等,腐朽,fǔxiǔ,形
2483,三级,父母,fùmǔ,名
2484,六级,父女,fùnǚ,名
2485,三级,父亲,fù·qīn,名
2486,六级,父子,fùzǐ,名
2487,三级,付,fù,动
2488,四级,付出,fùchū,动
2489,高等,付费,fùfèi,动
2490,高等,付款,fùkuǎn,动
2491,六级,负,fù,动
2492,四级,负担,fùdān,动、名
2493,高等,负面,fùmiàn,形
2494,高等,负有,fùyǒu,
2495,三级,负责,fùzé,动、形
2496,五级,负责人,fùzérén,名
2497,六级,妇女,fùnǚ,名
2498,高等,附,fù,动
2499,高等,附带,fùdài,动、形
2500,高等,附和,fùhè,动
2501,高等,附加,fùjiā,动
2502,五级,附件,fùjiàn,名
2503,四级,附近,fùjìn,名
2504,高等,附属,fùshǔ,动、形
2505,高等,赴,fù,动
2506,高等,复查,fùchá,动
2507,高等,复发,fùfā,动
2508,高等,复合,fùhé,动
2509,高等,复活,fùhuó,动
2510,六级,复苏,fùsū,动
2511,二级,复习,fùxí,动
2512,高等,复兴,fùxīng,动
2513,三级,复印,fùyìn,动
2514,高等,复原,fù∥yuán,
2515,三级,复杂,fùzá,形
2516,四级,复制,fùzhì,动
2517,六级,副,fù,形
2518,六级,副（量）,fù,量
2519,高等,副作用,fùzuòyòng,名
2520,高等,赋予,fùyǔ,动
2521,三级,富,fù,形
2522,高等,富含,fùhán,动
2523,高等,富豪,fùháo,名
2524,高等,富强,fùqiáng,形
2525,六级,富人,fùrén,名
2526,高等,富翁,fùwēng,名
2527,六级,富有,fùyǒu,形、动
2528,高等,富裕,fùyù,形
2529,高等,富足,fùzú,形
2530,高等,腹部,fùbù,名
2531,高等,腹泻,fùxiè,动
2532,高等,覆盖,fùgài,动
2533,二级,该,gāi,动
2534,高等,该（代）,gāi,代
2535,二级,改,gǎi,动
2536,高等,改版,gǎi∥bǎn,
2537,高等,改编,gǎibiān,动
2538,二级,改变,gǎibiàn,动、名
2539,高等,改动,gǎidòng,动
2540,五级,改革,gǎigé,动、名
2541,高等,改革开放,gǎigé kāifàng,
2542,三级,改进,gǎijìn,动
2543,高等,改良,gǎiliáng,动
2544,高等,改名,gǎimíng,动
2545,高等,改日,gǎirì,副
2546,四级,改善,gǎishàn,动
2547,高等,改为,gǎiwéi,
2548,高等,改邪归正,gǎixié-guīzhèng,
2549,三级,改造,gǎizào,动
2550,四级,改正,gǎizhèng,动
2551,六级,改装,gǎizhuāng,动
2552,高等,钙,gài,名
2553,四级,盖,gài,动
2554,高等,盖子,gàizi,名
2555,高等,概况,gàikuàng,名
2556,四级,概括,gàikuò,动、形
2557,高等,概率,gàilǜ,名
2558,高等,概论,gàilùn,名
2559,三级,概念,gàiniàn,名
2560,一级,干,gān,形
2561,二级,干杯,gān∥bēi,
2562,五级,干脆,gāncuì,形、副
2563,高等,干戈,gāngē,名
2564,高等,干旱,gānhàn,形
2565,一级,干净,gānjìng,形
2566,五级,干扰,gānrǎo,动
2567,六级,干涉,gānshè,动
2568,五级,干预,gānyù,动
2569,高等,干燥,gānzào,形
2570,高等,甘心,gānxīn,动
2571,六级,肝,gān,名
2572,高等,肝脏,gānzàng,名
2573,高等,尴尬,gāngà,形
2574,六级,杆,gǎn,名
2575,三级,赶,gǎn,动
2576,六级,赶不上,gǎnbushàng,动
2577,三级,赶到,gǎndào,
2578,高等,赶赴,gǎnfù,动
2579,三级,赶紧,gǎnjǐn,副
2580,三级,赶快,gǎnkuài,副
2581,六级,赶忙,gǎnmáng,副
2582,六级,赶上,gǎn∥·shàng,
2583,高等,赶往,gǎnwǎng,
2584,三级,敢,gǎn,动
2585,高等,敢情,gǎnqing,副
2586,六级,敢于,gǎnyú,动
2587,高等,感（责任感）,gǎn (zérèngǎn),后缀
2588,高等,感触,gǎnchù,名
2589,二级,感到,gǎndào,动
2590,二级,感动,gǎndòng,形、动
2591,高等,感恩,gǎn∥ēn,
2592,高等,感激,gǎnjī,动
2593,二级,感觉,gǎnjué,动、名
2594,高等,感慨,gǎnkǎi,动
2595,三级,感冒,gǎnmào,名、动
2596,三级,感情,gǎnqíng,名
2597,高等,感染,gǎnrǎn,动
2598,高等,感染力,gǎnrǎnlì,名
2599,六级,感人,gǎnrén,形
2600,三级,感受,gǎnshòu,名、动
2601,高等,感叹,gǎntàn,动
2602,五级,感想,gǎnxiǎng,名
2603,二级,感谢,gǎnxiè,动
2604,四级,感兴趣,gǎn xìngqù,
2605,高等,感性,gǎnxìng,形
2606,一级,干,gàn,动
2607,高等,干部,gànbù,名
2608,二级,干活儿,gàn∥huór,
2609,三级,干吗,gànmá,代
2610,一级,干什么,gàn shénme,
2611,高等,干事,gànshi,名
2612,二级,刚,gāng,副
2613,二级,刚才,gāngcái,名
2614,二级,刚刚,gānggāng,副
2615,六级,刚好,gānghǎo,副
2616,高等,刚毅,gāngyì,形
2617,高等,纲领,gānglǐng,名
2618,高等,纲要,gāngyào,名
2619,高等,钢,gāng,名
2620,五级,钢笔,gāngbǐ,名
2621,五级,钢琴,gāngqín,名
2622,高等,缸,gāng,名
2623,六级,岗位,gǎngwèi,名
2624,高等,港,gǎng,名
2625,六级,港口,gǎngkǒu,名
2626,高等,杠铃,gànglíng,名
2627,一级,高,gāo,形
2628,高等,高昂,gāo’áng,动、形
2629,高等,高傲,gāo’ào,形
2630,六级,高层,gāocéng,名、形
2631,高等,高超,gāochāo,形
2632,四级,高潮,gāocháo,名
2633,五级,高大,gāodà,形
2634,六级,高档,gāodàng,形
2635,六级,高等,gāoděng,形
2636,高等,高低,gāodī,名
2637,高等,高调,gāodiào,名
2638,五级,高度,gāodù,名、形
2639,高等,高额,gāo’é,形
2640,高等,高尔夫球,gāo’ěrfūqiú,名
2641,六级,高峰,gāofēng,名
2642,高等,高峰期,gāofēngqī,名
2643,五级,高跟鞋,gāogēnxié,名
2644,高等,高贵,gāoguì,形
2645,二级,高级,gāojí,形
2646,四级,高价,gāojià,名
2647,六级,高考,gāokǎo,名
2648,六级,高科技,gāokējì,名
2649,高等,高空,gāokōng,名
2650,高等,高龄,gāolíng,名、形
2651,高等,高明,gāomíng,形
2652,高等,高山,gāoshān,名
2653,四级,高尚,gāoshàng,形
2654,六级,高手,gāoshǒu,名
2655,三级,高速,gāosù,形
2656,三级,高速公路,gāosù gōnglù,
2657,四级,高铁,gāotiě,名
2658,五级,高温,gāowēn,名
2659,高等,高效,gāoxiào,形
2660,高等,高新技术,gāoxīn-jìshù,
2661,一级,高兴,gāoxìng,形
2662,高等,高血压,gāoxuèyā,名
2663,高等,高压,gāoyā,名
2664,高等,高雅,gāoyǎ,形
2665,五级,高于,gāoyú,动
2666,五级,高原,gāoyuán,名
2667,高等,高涨,gāozhǎng,动、形
2668,二级,高中,gāozhōng,名
2669,五级,搞,gǎo,动
2670,高等,搞鬼,gǎo∥guǐ,
2671,五级,搞好,gǎohǎo,
2672,高等,搞笑,gǎoxiào,动
2673,六级,稿子,gǎozi,名
2674,高等,告,gào,动
2675,三级,告别,gào∥bié,
2676,高等,告辞,gàocí,动
2677,高等,告诫,gàojiè,动
2678,高等,告示,gàoshi,名
2679,一级,告诉,gàosu,动
2680,高等,告知,gàozhī,动
2681,高等,告状,gào∥zhuàng,
2682,高等,戈壁,gēbì,名
2683,一级,哥哥∣哥,gēge∣gē,名
2684,高等,胳膊,gēbo,名
2685,高等,鸽子,gēzi,名
2686,高等,搁,gē,动
2687,高等,搁浅,gē∥qiǎn,
2688,高等,搁置,gēzhì,动
2689,高等,割,gē,动
2690,一级,歌,gē,名
2691,六级,歌唱,gēchàng,动
2692,六级,歌词,gēcí,名
2693,高等,歌剧,gējù,名
2694,三级,歌迷,gēmí,名
2695,五级,歌曲,gēqǔ,名
2696,三级,歌声,gēshēng,名
2697,三级,歌手,gēshǒu,名
2698,高等,歌颂,gēsòng,动
2699,高等,歌舞,gēwǔ,名
2700,六级,歌星,gēxīng,名
2701,高等,歌咏,gēyǒng,动
2702,高等,革命,gémìng,动、形
2703,六级,革新,géxīn,动、名
2704,高等,格,gé,名
2705,高等,格格不入,gégé-búrù,
2706,高等,格局,géjú,名
2707,高等,格式,géshi,名
2708,四级,格外,géwài,副
2709,四级,隔,gé,动
2710,五级,隔壁,gébì,名
2711,高等,隔阂,géhé,名
2712,四级,隔开,gékāi,动
2713,高等,隔离,gélí,动
2714,一级,个,gè,量
2715,高等,个案,gè’àn,名
2716,四级,个别,gèbié,形
2717,五级,个儿,gèr,名
2718,三级,个人,gèrén,名
2719,四级,个体,gètǐ,名
2720,高等,个头儿,gètóur,名
2721,三级,个性,gèxìng,名
2722,二级,个子,gèzi,名
2723,三级,各,gè,代、副
2724,高等,各奔前程,gèbènqiánchéng,
2725,三级,各地,gèdì,名
2726,四级,各个,gègè,代、副
2727,高等,各式各样,gèshì-gèyàng,
2728,三级,各位,gèwèi,代
2729,三级,各种,gèzhǒng,代
2730,三级,各自,gèzì,代
2731,一级,给,gěi,动、介
2732,四级,根,gēn,量、名
2733,三级,根本,gēnběn,副、形、名
2734,高等,根基,gēnjī,名
2735,四级,根据,gēnjù,动、介、名
2736,高等,根深蒂固,gēnshēn-dìgù,
2737,高等,根源,gēnyuán,名
2738,高等,根治,gēnzhì,动
2739,一级,跟,gēn,介、连、动
2740,高等,跟不上,gēn bu shàng,
2741,五级,跟前,gēnqián,名
2742,高等,跟上,gēnshang,
2743,五级,跟随,gēnsuí,动
2744,高等,跟踪,gēnzōng,动
2745,高等,更改,gēnggǎi,动
2746,五级,更换,gēnghuàn,动
2747,五级,更新,gēngxīn,动
2748,高等,更衣室,gēngyīshì,名
2749,高等,耕地,gēngdì,名
2750,高等,耿直,gěngzhí,形
2751,二级,更,gèng,副
2752,三级,更加,gèngjiā,副
2753,六级,更是,gèng shì,
2754,三级,工厂,gōngchǎng,名
2755,四级,工程,gōngchéng,名
2756,三级,工程师,gōngchéngshī,名
2757,高等,工地,gōngdì,名
2758,三级,工夫,gōngfu,名
2759,高等,工会,gōnghuì,名
2760,三级,工具,gōngjù,名
2761,高等,工科,gōngkē,名
2762,一级,工人,gōngrén,名
