index,level,syllable,headword
5.77,一级,qǐng,请
5.77,二级,zhǎng,长
5.76,一级,ne,呢
5.75,一级,gāo,高
5.7,二级,wàn,万
5.7,一级,diǎn,点
5.7,二级,shǐ,使
5.69,一级,tīng,听
5.68,三级,cǐ,此
5.68,一级,qǐ,起
5.67,一级,liǎng,两
5.66,一级,zǒu,走
5.66,二级,dài,带
5.66,二级,rú,如
5.66,一级,guó,国
5.65,一级,suì,岁
5.65,一级,huà,话
5.65,一级,chī,吃
5.65,四级,wú,无
5.64,一级,me,么
5.64,一级,jiā,家
5.64,一级,tài,太
5.64,二级,zhě,者
5.64,三级,qū,区
5.64,三级,yuē,约
5.63,一级,wèn,问
5.63,一级,kāi,开
5.62,一级,zhàn,站
5.61,一级,yuán,元
5.61,二级,chéng,成
5.61,二级,yīn,因
5.61,一级,xiě,写
5.6,一级,dǎ,打
5.59,三级,sǐ,死
5.59,一级,fēn,分
5.59,一级,jiàn,见
5.58,一级,jiào,叫
5.58,一级,mǎi,买
5.58,一级,tú,图
5.55,三级,zǒng,总
5.55,一级,tiān,天
5.54,二级,yìng,应
5.54,二级,yīng,应
5.54,一级,zhèng,正
5.54,三级,lìng,另
5.53,二级,pián,便
5.53,一级,jiān,间
5.52,一级,gàn,干
5.52,一级,míng,名
5.52,一级,gān,干
5.52,二级,fà,发
5.52,二级,fā,发
5.52,一级,běn,本
5.51,二级,chēng,称
5.51,一级,zhǎo,找
5.5,一级,wán,玩
5.5,一级,nín,您
5.49,二级,shòu,受
5.49,一级,jìn,进
5.49,一级,zhēn,真
5.48,三级,zhǒng,种
5.48,二级,chù,处
5.48,三级,měi,每
5.48,一级,nǚ,女
5.46,二级,wèi,位
5.46,一级,cì,次
5.46,二级,shěng,省
5.46,一级,lǎo,老
5.46,一级,wǎng,网
5.45,一级,wài,外
5.44,一级,mǎ,马
5.43,二级,háng,行
5.43,三级,lián,连
5.43,一级,lù,路
5.43,一级,xíng,行
5.42,一级,ná,拿
5.41,四级,na,哪
5.41,一级,tóng,同
5.41,三级,réng,仍
5.41,一级,nǎ,哪
5.4,一级,xiān,先
5.4,三级,tái,台
5.39,一级,èr,二
5.39,一级,xué,学
5.39,一级,fēi,非
5.39,一级,zhù,住
5.38,一级,huí,回
5.38,一级,bié,别
5.38,高等,biè,别
5.38,一级,shū,书
5.36,二级,jiǎng,讲
5.35,一级,tiáo,条
5.35,一级,sòng,送
5.35,三级,fǎn,反
5.34,六级,la,啦
5.32,二级,fǎ,法
5.32,四级,jūn,均
5.31,二级,biàn,变
5.31,一级,mǐ,米
5.31,二级,quán,全
5.3,一级,shēng,生
5.3,二级,gòng,共
5.3,一级,shuǐ,水
5.28,三级,pài,派
5.27,一级,chē,车
5.27,五级,gǎo,搞
5.26,二级,jí,级
5.26,一级,shǒu,手
5.25,一级,chǎng,场
5.25,一级,xiē,些
5.24,三级,àn,按
5.23,二级,kào,靠
5.23,一级,nán,男
5.23,一级,pǎo,跑
5.23,二级,bào,报
5.23,高等,ò,哦
5.22,二级,lā,拉
5.22,一级,shǎo,少
5.21,一级,xì,系
5.21,一级,mén,门
5.21,一级,fàng,放
5.21,三级,pāi,拍
5.21,二级,dī,低
5.21,二级,qiě,且
5.2,一级,xī,西
5.2,一级,xiào,笑
5.2,一级,chuān,穿
5.19,五级,nàn,难
5.19,二级,xuǎn,选
5.18,三级,zhuǎn,转
5.18,三级,zhuā,抓
5.18,三级,zhāng,张
5.18,三级,tán,谈
5.18,一级,sì,四
5.17,二级,mài,卖
5.17,二级,gǒu,狗
5.17,二级,hēi,黑
5.17,一级,zì,字
5.17,一级,dòng,动
5.17,一级,dōng,东
5.17,三级,jǐn,仅
5.17,一级,bāng,帮
5.16,二级,huáng,黄
5.16,一级,zǎo,早
5.16,二级,xiāng,相
5.16,一级,huā,花
5.15,二级,duàn,段
5.15,一级,zǐ,子
5.15,二级,zhǔ,主
5.14,二级,xìn,信
5.14,二级,suàn,算
5.14,一级,guān,关
5.13,一级,cuò,错
5.13,一级,wǔ,五
5.12,二级,gāng,刚
5.12,一级,yuǎn,远
5.11,一级,zhòng,重
5.11,一级,miàn,面
5.11,二级,chóng,重
5.11,二级,wáng,王
5.1,二级,shǔ,数
5.1,二级,dǎo,倒
5.09,三级,tuán,团
5.09,一级,jǐ,几
5.08,二级,rù,入
5.08,三级,qún,群
5.08,六级,bī,逼
5.07,四级,ya,呀
5.07,一级,xiàn,现
5.07,一级,jiāo,教
5.07,二级,tóu,头
5.07,二级,zǔ,组
5.05,二级,dǒng,懂
5.05,二级,dìng,定
5.05,一级,jī,机
5.05,一级,dú,读
5.05,二级,liǎn,脸
5.04,二级,jiǎ,假
5.04,一级,jià,假
5.04,一级,diàn,电
5.04,一级,cháng,常
5.03,二级,huó,活
5.03,二级,tè,特
5.03,二级,huàn,换
5.03,二级,gǎi,改
5.02,一级,mā,妈
5.02,二级,lí,离
5.01,四级,yà,亚
5.01,四级,mèng,梦
5.01,一级,zuò,坐
5.0,二级,kǎ,卡
5.0,二级,yún,云
5.0,高等,qiǎ,卡
5.0,二级,suí,随
5.0,一级,hē,喝
5.0,一级,tǐ,体
4.99,二级,zhōu,周
4.99,二级,dù,度
4.99,二级,dān,单
4.99,一级,rè,热
4.99,一级,shān,山
4.99,一级,wén,文
4.98,一级,běi,北
4.98,三级,mǒu,某
4.98,二级,kē,科
4.98,一级,yè,页
4.98,三级,shuāng,双
4.98,一级,jīn,今
4.97,一级,bàn,半
4.97,三级,chú,除
4.97,三级,cūn,村
4.97,三级,guāng,光
4.97,一级,liù,六
4.97,一级,shī,师
4.96,一级,shuì,睡
4.96,一级,bāo,包
4.95,四级,ā,阿
4.95,二级,pà,怕
4.95,三级,gé,格
4.95,四级,juàn,卷
4.95,二级,hóng,红
4.95,二级,cí,词
4.95,四级,juǎn,卷
4.95,二级,yán,言
4.94,三级,chǎn,产
4.94,二级,lùn,论
4.94,一级,chà,差
4.94,一级,fēng,风
4.94,二级,chāo,超
4.93,四级,tiē,贴
4.93,二级,fèn,份
4.93,一级,huài,坏
4.93,二级,diào,掉
4.93,二级,jiē,接
4.93,二级,jié,节
4.92,一级,kǒu,口
4.92,二级,ān,安
4.92,五级,qiāng,枪
4.91,一级,fāng,方
4.91,四级,cāo,操
4.91,二级,qǔ,取
4.9,三级,guà,挂
4.9,三级,lǐng,领
4.9,二级,biǎo,表
4.9,一级,bái,白
4.89,一级,máo,毛
4.89,二级,zhuāng,装
4.89,二级,fù,复
4.88,二级,shōu,收
4.88,二级,céng,层
4.87,二级,tuī,推
4.87,一级,máng,忙
4.87,二级,piàn,片
4.87,三级,zhuī,追
4.87,一级,bìng,病
4.87,二级,gù,故
4.86,二级,hǎi,海
4.86,一级,bān,班
4.86,三级,luàn,乱
4.86,二级,duǎn,短
4.85,二级,tǐng,挺
4.85,一级,jì,记
4.85,二级,gòu,够
4.85,一级,zuǒ,左
4.85,三级,lóng,龙
4.85,五级,miǎo,秒
4.84,三级,tiào,跳
4.84,一级,niú,牛
4.84,六级,chòng,冲
4.84,一级,guǎn,馆
4.84,二级,kū,哭
4.83,一级,wàng,忘
4.83,四级,jú,局
4.83,二级,zhào,照
4.83,一级,qiú,球
4.82,一级,lóu,楼
4.82,二级,piān,篇
4.82,二级,tōng,通
4.82,一级,ér,儿
4.82,六级,zhuàn,赚
4.81,一级,qī,七
4.81,四级,lún,轮
4.81,一级,ròu,肉
4.81,二级,yú,鱼
4.8,二级,yì,意
4.8,四级,fǔ,府
4.8,五级,qiǎng,抢
4.8,二级,liú,留
4.8,二级,nòng,弄
4.8,三级,fèi,费
4.8,一级,zhī,知
4.8,二级,wù,物
4.79,五级,mà,骂
4.79,四级,tì,替
4.79,二级,qíng,情
4.79,四级,lín,林
4.78,五级,guǐ,鬼
4.78,一级,biān,边
4.78,五级,cāi,猜
4.78,二级,chuán,船
4.78,二级,píng,平
4.78,二级,lè,乐
4.77,一级,jiǔ,九
4.77,六级,xuè,血
4.77,三级,zhū,猪
4.77,二级,gǎn,感
4.77,五级,diū,丢
4.76,一级,piào,票
4.76,一级,fáng,房
4.76,二级,sè,色
4.76,三级,mìng,命
4.76,六级,cáng,藏
4.76,三级,pò,破
4.75,二级,mǎn,满
4.75,一级,qì,气
4.75,二级,qīng,轻
4.74,三级,guài,怪
4.74,一级,wǎn,晚
4.74,五级,kuǎn,款
4.74,四级,quān,圈
4.74,一级,shí,十
4.74,二级,cǎo,草
4.73,一级,shēn,身
4.73,二级,māo,猫
4.73,三级,qīn,亲
4.73,一级,bā,八
4.73,五级,bàng,棒
4.73,三级,cháo,朝
4.73,五级,dūn,吨
4.73,一级,kè,课
4.72,六级,sū,苏
4.72,二级,tuǐ,腿
4.72,二级,tí,题
4.71,二级,niǎo,鸟
4.71,二级,tiě,铁
4.71,三级,hā,哈
4.71,二级,suī,虽
4.7,一级,fàn,饭
4.7,三级,huá,华
4.7,三级,gǔ,古
4.7,二级,lì,利
4.7,一级,xīng,星
4.7,二级,tíng,停
4.69,一级,chàng,唱
4.69,二级,zuǐ,嘴
4.69,高等,ōu,欧
4.69,三级,zào,造
4.69,二级,mù,目
4.69,二级,xū,须
4.68,一级,zhǔn,准
4.68,二级,zhí,直
4.68,六级,tǎ,塔
4.68,二级,bì,必
4.67,三级,sài,赛
4.67,四级,zǎi,载
4.67,三级,zhuān,专
4.67,四级,hán,含
4.67,四级,kuān,宽
4.66,一级,shù,树
4.66,一级,bēi,杯
4.66,二级,qiáng,墙
4.66,二级,yǎng,养
4.65,二级,chuī,吹
4.65,二级,tào,套
4.65,一级,huǒ,火
4.65,二级,yùn,运
4.65,三级,shè,社
4.64,三级,yā,压
4.64,一级,yuàn,院
4.64,一级,líng,零
4.64,一级,guì,贵
4.63,一级,màn,慢
4.63,六级,kuà,跨
4.63,二级,lǜ,绿
4.63,一级,lěng,冷
4.62,一级,xǐ,洗
4.62,六级,duān,端
4.62,六级,wa,哇
4.62,一级,cài,菜
4.62,一级,gē,哥
4.62,一级,chá,茶
4.62,二级,kòng,空
4.62,二级,kōng,空
4.61,二级,lán,蓝
4.61,二级,jù,句
4.61,三级,dāo,刀
4.61,三级,qiáo,桥
4.61,二级,guǎng,广
4.61,二级,cān,参
4.61,一级,kǎo,考
4.61,五级,táo,逃
4.61,四级,yǐn,引
4.61,二级,bǎn,板
4.6,四级,liǎ,俩
4.6,四级,jiàng,降
4.59,一级,yòu,右
4.59,三级,fū,夫
4.58,三级,zhēng,争
4.58,三级,mín,民
4.58,三级,chí,持
4.58,一级,è,饿
4.58,三级,chuàng,创
4.58,二级,dā,答
4.58,一级,dá,答
4.58,四级,tǎng,躺
4.57,三级,pèi,配
4.57,三级,yān,烟
4.57,三级,xiǎn,显
4.57,四级,mō,摸
4.57,一级,chuáng,床
4.57,一级,shāng,商
4.57,五级,hèn,恨
4.57,二级,pái,排
4.57,四级,dǐng,顶
4.57,二级,jǔ,举
4.56,三级,hài,害
4.56,高等,lǔ,鲁
4.55,一级,xiè,谢
4.55,四级,jū,居
4.55,四级,chún,纯
4.55,四级,tuō,脱
4.54,一级,yàng,样
4.54,六级,é,额
4.54,三级,tuì,退
4.54,五级,gǔn,滚
4.54,二级,pèng,碰
4.53,五级,shǎ,傻
4.53,四级,pán,盘
4.53,三级,zú,足
4.53,五级,dāi,呆
4.53,四级,sōng,松
4.53,三级,niàn,念
4.53,二级,yín,银
4.53,一级,gōng,工
4.53,四级,fān,翻
4.53,二级,hǎn,喊
4.53,三级,pī,批
4.53,四级,chōu,抽
4.53,四级,zàn,赞
4.53,五级,tōu,偷
4.52,二级,qiān,千
4.52,三级,dǐ,底
4.52,六级,sāi,塞
4.52,二级,rán,然
4.52,三级,luò,落
4.52,四级,shuā,刷
4.52,三级,dùn,顿
4.51,三级,zī,资
4.51,一级,zěn,怎
4.5,三级,tòng,痛
4.5,四级,lěi,累
4.5,四级,liào,料
4.5,一级,rèn,认
4.5,六级,ēn,恩
4.5,三级,zhì,志
4.5,一级,lèi,累
4.5,六级,nuò,诺
4.49,三级,pǐn,品
4.49,高等,kēng,坑
4.49,一级,dàn,蛋
4.49,二级,zhǐ,纸
4.49,二级,hú,湖
4.49,一级,yǔ,雨
4.48,二级,pá,爬
4.48,一级,jīng,京
4.48,一级,bǎi,百
4.48,三级,pí,皮
4.47,四级,bīng,兵
4.47,二级,xǔ,许
4.47,高等,tiǎn,舔
4.46,五级,sōu,搜
4.46,四级,xiù,秀
4.46,三级,tǔ,土
4.46,四级,shāo,烧
4.46,四级,shèn,甚
4.46,六级,lüè,略
4.46,三级,shèng,胜
4.46,二级,yǎn,眼
4.46,高等,dīng,丁
4.46,一级,bèi,备
4.46,一级,páng,旁
4.45,五级,yǎo,咬
4.45,三级,bǔ,补
4.45,二级,yìn,印
4.45,二级,liàn,练
4.45,二级,què,确
4.45,高等,lēi,勒
4.45,一级,guǒ,果
4.45,一级,hàn,汉
4.44,高等,sà,萨
4.44,四级,qiē,切
4.44,三级,zhuàng,状
4.44,三级,yōu,优
4.44,四级,ě,恶
4.44,六级,zhà,炸
4.44,二级,jiǎo,角
4.44,四级,dí,敌
4.44,三级,qiè,切
4.44,三级,wū,屋
4.44,五级,làn,烂
4.43,二级,táng,堂
4.43,六级,zhā,扎
4.43,高等,zā,扎
4.43,五级,hǔ,虎
4.43,三级,cún,存
4.43,二级,shú,熟
4.43,二级,shóu,熟
4.43,四级,zhāo,招
4.43,三级,nóng,农
4.42,五级,shé,蛇
4.42,四级,wěn,稳
4.42,高等,niào,尿
4.42,三级,kǔ,苦
4.42,六级,hùn,混
4.41,五级,ruǎn,软
4.41,三级,cǎi,采
4.41,六级,dàng,档
4.41,二级,téng,疼
4.41,三级,zhěng,整
4.4,一级,yǐng,影
4.4,三级,shàn,善
4.4,四级,léi,雷
4.4,二级,dēng,灯
4.4,四级,shài,晒
4.4,四级,xǐng,醒
4.4,四级,tǒng,统
4.4,三级,shā,沙
4.4,三级,tāng,汤
4.4,五级,rēng,扔
4.4,三级,zhǎn,展
4.4,三级,mǔ,母
4.39,三级,mào,冒
4.39,高等,wǎ,瓦
4.39,四级,nào,闹
4.39,三级,zēng,增
4.38,四级,cā,擦
4.38,四级,dòu,斗
4.38,三级,biāo,标
4.38,六级,kàng,抗
4.38,二级,mò,末
4.38,高等,rě,惹
4.38,六级,wā,挖
4.37,五级,qiàn,欠
4.37,四级,ruò,弱
4.37,高等,zéi,贼
4.37,六级,shuǎng,爽
4.37,六级,pào,泡
4.36,一级,gào,告
4.35,二级,xuě,雪
4.35,一级,fú,服
4.35,高等,kǎn,砍
4.34,高等,chě,扯
4.34,三级,quē,缺
4.34,一级,shén,什
4.34,四级,qióng,穷
4.33,二级,pǔ,普
4.33,五级,dǎng,挡
4.33,二级,chūn,春
4.33,四级,miǎn,免
4.33,四级,tiǎo,挑
4.33,六级,fěn,粉
4.33,五级,kěn,肯
4.33,三级,xù,续
4.33,高等,wō,窝
4.33,六级,shěn,审
4.33,四级,tiāo,挑
4.33,四级,sūn,孙
4.33,三级,sàn,散
4.32,五级,pīn,拼
4.32,一级,xìng,兴
4.31,高等,hēng,哼
4.31,一级,xí,习
4.31,一级,nǎo,脑
4.3,二级,hù,护
4.3,五级,quàn,劝
4.3,三级,niáng,娘
4.3,二级,xié,鞋
4.3,四级,zhé,折
4.3,五级,kuáng,狂
4.3,高等,sā,撒
4.3,高等,sāo,骚
4.3,六级,fó,佛
4.29,四级,yá,牙
4.29,一级,jué,觉
4.29,六级,mēng,蒙
4.29,五级,rào,绕
4.28,高等,nìng,宁
4.28,五级,bó,博
4.28,四级,tòu,透
4.28,五级,chòu,臭
4.28,四级,níng,宁
4.28,二级,liàng,亮
4.28,二级,shùn,顺
4.27,二级,lǚ,旅
4.27,一级,jìng,净
4.27,六级,bǎng,榜
4.27,三级,nuǎn,暖
4.26,四级,sēn,森
4.26,四级,báo,薄
4.26,六级,miè,灭
4.25,四级,cè,测
4.25,二级,yáng,阳
4.25,三级,kùn,困
4.25,六级,kòu,扣
4.25,三级,tián,甜
4.24,五级,kuī,亏
4.24,六级,mái,埋
4.24,五级,chāi,拆
4.24,六级,móu,谋
4.24,六级,zuān,钻
4.24,高等,mǒ,抹
4.24,高等,zuàn,钻
4.24,三级,xiāo,消
4.24,四级,suān,酸
4.24,二级,zū,租
4.23,五级,pēn,喷
4.23,三级,fán,烦
4.22,四级,féi,肥
4.22,六级,cǎn,惨
4.22,三级,fǎng,访
4.22,三级,guī,规
4.22,四级,cū,粗
4.21,四级,shǎn,闪
4.21,高等,cáo,曹
4.21,二级,chǔ,楚
4.21,五级,chǒu,丑
4.21,二级,wēn,温
4.21,三级,pàng,胖
4.2,五级,shuāi,摔
4.2,三级,róng,容
4.2,六级,pù,铺
4.19,六级,pū,扑
4.19,三级,pàn,判
4.18,四级,mì,秘
4.18,三级,bō,播
4.18,六级,diē,跌
4.18,四级,shuài,帅
4.17,六级,duó,夺
4.17,五级,duī,堆
4.17,三级,mí,迷
4.17,高等,xiā,虾
4.17,六级,lài,赖
4.17,四级,sǎo,扫
4.17,二级,sī,思
4.17,三级,chōng,充
4.16,二级,kāng,康
4.16,一级,nǎi,奶
4.16,五级,rěn,忍
4.16,一级,bà,爸
4.16,四级,bài,败
4.16,三级,xuān,宣
4.15,六级,yūn,晕
4.15,五级,xióng,雄
4.15,五级,guō,锅
4.15,高等,nú,奴
4.14,五级,lǎng,朗
4.14,五级,bǐng,饼
4.14,六级,měng,猛
4.14,二级,zán,咱
4.13,五级,láo,劳
4.13,四级,qiǎn,浅
4.13,三级,chǎo,吵
4.13,二级,yǒng,永
4.13,高等,xiá,侠
4.12,高等,xú,徐
4.11,高等,nèn,嫩
4.11,一级,mèi,妹
4.11,五级,tǎn,坦
4.1,高等,pāo,抛
4.1,二级,yíng,迎
4.1,四级,láng,郎
4.1,四级,ěr,耳
4.09,三级,hūn,婚
4.09,三级,zá,杂
4.09,六级,nù,怒
4.09,四级,huái,怀
4.09,高等,quǎn,犬
4.09,六级,fèng,奉
4.08,三级,tū,突
4.08,二级,qiū,秋
4.08,三级,wò,握
4.08,五级,dǎn,胆
4.08,六级,bēn,奔
4.07,三级,zé,责
4.07,四级,mó,模
4.07,六级,zhái,宅
4.07,五级,mú,模
4.07,一级,jiě,姐
4.07,五级,qín,琴
4.07,高等,còu,凑
4.06,六级,zhài,债
4.06,五级,zāo,糟
4.05,六级,zàng,脏
4.05,高等,sāng,桑
4.05,二级,zāng,脏
4.05,四级,shǎng,赏
4.04,四级,ǎi,矮
4.04,四级,là,辣
4.04,五级,shě,舍
4.04,高等,shuǎi,甩
4.04,六级,chuàn,串
4.04,四级,dǔ,堵
4.04,六级,ní,泥
4.04,五级,hè,贺
4.04,四级,cù,促
4.04,六级,cán,残
4.04,一级,xiū,休
4.04,二级,liáng,凉
4.03,三级,qìng,庆
4.03,四级,huī,挥
4.03,高等,chuō,戳
4.03,二级,tǎo,讨
4.03,四级,xún,寻
4.02,二级,bǎo,饱
4.02,六级,tūn,吞
4.02,五级,bīn,宾
4.02,高等,niē,捏
4.02,六级,cāng,仓
4.02,五级,bá,拔
4.01,高等,zhān,沾
4.01,五级,chuǎng,闯
4.01,高等,pěng,捧
4.0,五级,zhāi,摘
4.0,高等,chán,缠
4.0,六级,wá,娃
4.0,高等,shuǎ,耍
4.0,五级,tù,兔
4.0,四级,sǎn,伞
4.0,高等,lāo,捞
4.0,三级,jǐng,景
3.99,五级,rùn,润
3.98,四级,chuāng,窗
3.98,五级,zūn,尊
3.97,六级,juān,捐
3.97,三级,xùn,训
3.97,高等,chǔn,蠢
3.96,六级,zòu,奏
3.96,三级,làng,浪
3.96,五级,lòu,漏
3.96,四级,suō,缩
3.96,高等,kuā,夸
3.96,六级,ái,挨
3.96,高等,ráo,饶
3.96,四级,kuò,扩
3.96,六级,āi,挨
3.95,二级,yí,宜
3.95,二级,jiǎn,检
3.95,六级,biǎn,扁
3.95,四级,bèn,笨
3.95,五级,chā,叉
3.94,高等,kǎi,凯
3.94,四级,wān,弯
3.94,高等,nì,逆
3.93,一级,jiè,介
3.93,高等,áo,熬
3.93,四级,yáo,摇
3.93,高等,hòng,哄
3.93,高等,hǒng,哄
3.93,高等,hèng,横
3.92,四级,zhèn,阵
3.92,六级,lú,炉
3.92,高等,cuī,催
3.92,高等,shéng,绳
3.92,高等,liū,溜
3.92,四级,guā,瓜
3.92,四级,guàng,逛
3.91,五级,pǐ,匹
3.91,五级,sǔn,损
3.91,高等,liǔ,柳
3.91,五级,rǎn,染
3.91,高等,zhóu,轴
3.91,高等,tān,贪
3.9,三级,kǒng,恐
3.9,六级,gǎng,岗
3.9,四级,cùn,寸
3.89,高等,wāi,歪
3.89,三级,fǒu,否
3.89,五级,nài,耐
3.88,五级,gōu,沟
3.87,五级,zèng,赠
3.87,三级,kù,裤
3.86,高等,hǒu,吼
3.86,六级,rǔ,乳
3.86,六级,zòng,纵
3.86,二级,nǔ,努
3.86,三级,má,麻
3.86,五级,bí,鼻
3.85,高等,fén,坟
3.85,一级,dì,弟
3.85,一级,sù,诉
3.85,高等,huàng,晃
3.84,高等,bo,卜
3.84,三级,qiǎo,巧
3.84,五级,yōng,拥
3.83,高等,féng,逢
3.83,四级,xián,咸
3.82,高等,zhuài,拽
3.82,高等,wēng,翁
3.82,二级,yù,育
3.82,四级,huǎn,缓
3.81,六级,chǒng,宠
3.81,五级,huāng,慌
3.8,五级,ǒu,偶
3.8,三级,kuàng,况
3.8,五级,pín,频
3.8,高等,mèn,闷
3.8,高等,mēn,闷
3.79,六级,tàng,趟
3.79,一级,zhuō,桌
3.79,一级,huān,欢
3.79,六级,méng,盟
3.79,六级,yǔn,允
3.79,高等,jiáo,嚼
3.79,高等,biē,憋
3.78,高等,léng,棱
3.78,六级,tà,踏
3.77,四级,chǐ,尺
3.77,五级,hóu,猴
3.77,高等,káng,扛
3.77,四级,xiōng,兄
3.77,高等,jùn,俊
3.77,六级,miào,妙
3.76,高等,guāi,乖
3.76,二级,guàn,惯
3.76,三级,liè,烈
3.76,三级,yàn,验
3.76,高等,wāng,汪
3.76,高等,zhē,遮
3.75,一级,yé,爷
3.75,高等,zhǎi,窄
3.75,高等,chuǎn,喘
3.75,六级,qià,恰
3.75,高等,zhuǎ,爪
3.75,五级,duǒ,朵
3.75,高等,piāo,飘
3.74,高等,dǒu,抖
3.74,六级,tàn,叹
3.73,高等,gùn,棍
3.73,高等,qiàng,呛
3.72,高等,dié,叠
3.72,五级,chóu,愁
3.72,五级,zāi,灾
3.71,高等,lǒu,搂
3.71,六级,niǔ,扭
3.71,高等,kǔn,捆
3.7,五级,pō,泼
3.7,高等,bāi,掰
3.7,高等,liě,咧
3.7,高等,liē,咧
3.69,高等,fěi,匪
3.69,四级,zōng,综
3.69,四级,jiū,究
3.69,四级,chè,彻
3.69,五级,sǎ,洒
3.69,三级,kā,咖
3.68,高等,kūn,昆
3.68,高等,pā,趴
3.68,高等,náng,囊
3.68,高等,tuǒ,妥
3.68,高等,tún,屯
3.67,六级,xuán,悬
3.67,高等,xūn,勋
3.66,高等,luǒ,裸
3.66,高等,bēng,崩
3.65,五级,chái,柴
3.65,高等,kōu,抠
3.65,高等,luǎn,卵
3.65,高等,dèng,瞪
3.65,高等,sēng,僧
3.64,高等,lèng,愣
3.64,六级,héng,衡
3.64,四级,zhú,逐
3.64,高等,nüè,虐
3.63,高等,áng,昂
3.63,高等,cuàn,窜
3.63,三级,wěi,伟
3.63,四级,sú,俗
3.62,高等,yuān,冤
3.62,高等,tāi,胎
3.62,高等,huǎng,谎
3.61,高等,pì,辟
3.61,四级,háo,毫
3.61,五级,mǐn,敏
3.61,五级,xiáng,详
3.61,六级,kān,刊
3.6,高等,pān,攀
3.6,三级,wēi,危
3.6,高等,chuí,垂
3.6,四级,péi,培
3.6,高等,zhuì,坠
3.59,高等,náo,挠
3.57,六级,tāo,掏
3.57,六级,guǎi,拐
3.57,高等,chuài,踹
3.57,高等,nǐng,拧
3.56,一级,shào,绍
3.56,高等,kuǎ,垮
3.56,高等,cèng,蹭
3.55,高等,diāo,叼
3.55,高等,róu,柔
3.55,高等,bèng,蹦
3.55,四级,pó,婆
3.55,高等,zhá,闸
3.55,高等,gàng,杠
3.54,高等,nuó,挪
3.54,二级,hū,忽
3.54,高等,zhǎ,眨
3.54,五级,shuò,硕
3.52,六级,pìn,聘
3.52,高等,xuàn,炫
3.51,高等,zhuó,卓
3.51,四级,liáo,疗
3.51,高等,xuē,靴
3.5,一级,hái,孩
3.5,高等,qiā,掐
3.49,高等,páo,刨
3.49,六级,chāng,昌
3.49,一级,péng,朋
3.49,高等,tuò,拓
3.49,五级,pú,葡
3.49,高等,duò,堕
3.48,五级,pén,盆
3.48,四级,wà,袜
3.47,高等,cuō,搓
3.47,高等,līn,拎
3.46,高等,yǎ,哑
3.46,高等,kuí,魁
3.46,高等,zǎn,攒
3.46,六级,qú,渠
3.46,五级,huǐ,悔
3.45,高等,niàng,酿
3.44,五级,ké,咳
3.43,高等,āo,凹
3.43,五级,mián,眠
3.43,高等,jiá,颊
3.43,二级,chén,晨
3.42,高等,chì,斥
3.42,一级,kě,渴
3.39,五级,rǎo,扰
3.38,高等,chān,掺
3.37,四级,miáo,描
3.37,五级,cuì,脆
3.37,四级,tī,梯
3.36,五级,fá,乏
3.36,五级,lǎn,览
3.35,六级,sàng,丧
3.35,高等,záo,凿
3.34,高等,chèng,秤
3.33,高等,hún,浑
3.32,高等,hén,痕
3.32,高等,lǎ,喇
