Number,Key,Pinyin,English
205,黾,miǎn,frog
206,鼎,dǐng,tripod
207,鼓,gǔ,drum
208,鼠,shǔ,rat
209,鼻,bí,nose
210,齐,qí,regular
211,齿,chǐ,"tooth, engrenage"
212,龙,lóng,dragon
213,龟,guī,tortoise
214,龠,yuè,flute
